iucn_sid,sens,stressor,code,score_num
21342,FALSE,direct_human,1.3,NA
21342,FALSE,nutrient,2.4.1,NA
21342,FALSE,nutrient,2.4.2,NA
21342,FALSE,nutrient,9.1.1,NA
21342,FALSE,nutrient,9.1.2,NA
21342,FALSE,organic,9.1.2,NA
21342,FALSE,organic,9.2.1,NA
21342,FALSE,organic,9.2.2,NA
21342,FALSE,nutrient,9.3.1,NA
21342,FALSE,organic,9.3.3,NA
21343,FALSE,direct_human,1.1,NA
21343,FALSE,direct_human,1.2,NA
21343,FALSE,direct_human,1.3,NA
21343,FALSE,nutrient,2.4.1,NA
21343,FALSE,nutrient,2.4.2,NA
21343,FALSE,nutrient,9.1.1,NA
21343,FALSE,nutrient,9.1.2,NA
21343,FALSE,organic,9.1.2,NA
21343,FALSE,organic,9.2.1,NA
21343,FALSE,organic,9.2.2,NA
21343,FALSE,nutrient,9.3.1,NA
21343,FALSE,organic,9.3.3,NA
22103,TRUE,direct_human,1.1,3
22103,TRUE,direct_human,1.2,3
22103,TRUE,direct_human,1.3,3
22103,TRUE,nutrient,2.4.3,3
22103,TRUE,direct_human,6.1,3
22103,TRUE,nutrient,9.1.1,3
22104,TRUE,direct_human,1.1,3
22104,TRUE,direct_human,1.2,3
22104,FALSE,direct_human,1.3,1
22104,TRUE,nutrient,2.4.3,3
22104,FALSE,direct_human,6.1,1
22104,TRUE,direct_human,6.3,3
22104,TRUE,nutrient,9.1.1,3
22104,TRUE,organic,9.2.1,3
22104,FALSE,nutrient,9.3.1,1
22104,TRUE,organic,9.3.3,3
22563,TRUE,direct_human,1.1,3
22563,TRUE,direct_human,1.2,3
22563,TRUE,direct_human,1.3,3
22563,TRUE,direct_human,6.1,3
22823,TRUE,direct_human,1.2,6
22823,TRUE,direct_human,1.3,5
22823,FALSE,direct_human,6.1,NA
22823,FALSE,organic,9.2.1,NA
22823,TRUE,organic,9.3.3,7
31382,TRUE,direct_human,1.1,3
31382,TRUE,nutrient,2.4.3,3
33705,TRUE,direct_human,1.1,3
33705,TRUE,nutrient,2.4.3,3
34364,TRUE,direct_human,1.1,3
34364,TRUE,nutrient,2.4.3,3
39332,FALSE,direct_human,1.1,NA
39332,FALSE,direct_human,1.2,NA
39332,FALSE,direct_human,1.3,NA
39332,FALSE,direct_human,6.1,NA
39345,TRUE,direct_human,1.1,3
39346,TRUE,direct_human,1.1,3
39371,TRUE,direct_human,1.1,5
39371,FALSE,organic,9.2.1,NA
39379,TRUE,direct_human,1.1,3
39379,TRUE,organic,9.2.2,3
39387,TRUE,direct_human,6.1,3
39389,FALSE,direct_human,1.1,NA
39389,FALSE,direct_human,1.2,NA
39389,FALSE,nutrient,9.1.1,NA
39389,FALSE,nutrient,9.1.2,NA
39389,FALSE,organic,9.1.2,NA
39389,FALSE,organic,9.2.1,NA
39389,FALSE,organic,9.2.2,NA
39389,FALSE,nutrient,9.3.1,NA
39389,FALSE,organic,9.3.3,NA
39390,FALSE,direct_human,1.2,NA
39390,FALSE,organic,9.2.1,NA
39390,FALSE,organic,9.2.2,NA
39393,FALSE,nutrient,9.3.1,NA
39427,FALSE,direct_human,6.3,NA
40773,FALSE,direct_human,1.1,NA
40773,FALSE,direct_human,1.2,NA
