iucn_sid,gear,count
10072,trap,0
10074,btmtrawl,1
10074,dredge,0
10074,gillnet,0
10074,longline,0
10074,midtrawl,0
10074,poleline,0
10074,seine,0
10074,trap,0
10075,btmtrawl,7
10075,dredge,0
10075,gillnet,0
10075,longline,0
10075,midtrawl,0
10075,poleline,0
10075,seine,0
10075,trap,0
10077,btmtrawl,3
10077,dredge,0
10077,gillnet,0
10077,longline,0
10077,midtrawl,0
10077,poleline,0
10077,seine,0
10077,trap,0
10082,btmtrawl,4
10082,dredge,0
10082,gillnet,0
10082,longline,0
10082,midtrawl,0
10082,poleline,0
10082,seine,0
10082,trap,0
10083,btmtrawl,2
10083,dredge,0
10083,gillnet,0
10083,longline,0
10083,midtrawl,0
10083,poleline,0
10083,seine,0
10083,trap,0
10087,btmtrawl,5
10087,dredge,0
10087,gillnet,0
10087,longline,0
10087,midtrawl,0
10087,poleline,0
10087,seine,0
10087,trap,0
10088,btmtrawl,0
10088,dredge,0
10088,gillnet,0
10088,longline,0
10088,midtrawl,0
10088,poleline,0
10088,seine,0
10088,trap,0
10089,btmtrawl,5
10089,dredge,0
10089,gillnet,0
10089,longline,0
10089,midtrawl,0
10089,poleline,0
10089,seine,1
10089,trap,1
10268,btmtrawl,0
10268,dredge,0
10268,gillnet,0
10268,longline,0
10268,midtrawl,0
10268,poleline,0
10268,seine,0
10268,trap,0
10269,btmtrawl,2
10269,dredge,0
10269,gillnet,0
10269,longline,0
10269,midtrawl,0
10269,poleline,0
10269,seine,0
10269,trap,0
10340,btmtrawl,0
10340,dredge,0
10340,gillnet,0
10340,longline,0
10340,midtrawl,0
10340,poleline,0
10340,seine,0
10340,trap,0
10707,btmtrawl,0
10707,dredge,0
10707,gillnet,0
10707,longline,0
10707,midtrawl,0
10707,poleline,0
10707,seine,0
10707,trap,0
10708,btmtrawl,0
10708,dredge,0
10708,gillnet,2
10708,longline,0
10708,midtrawl,0
10708,poleline,0
10708,seine,0
10708,trap,0
10939,btmtrawl,0
10939,dredge,0
10939,gillnet,0
10939,longline,0
10939,midtrawl,0
10939,poleline,0
10939,seine,0
10939,trap,0
11047,btmtrawl,0
11047,dredge,0
11047,gillnet,3
11047,longline,0
11047,midtrawl,0
11047,poleline,0
11047,seine,1
11047,trap,0
11048,btmtrawl,0
11048,dredge,0
11048,gillnet,1
11048,longline,0
11048,midtrawl,0
11048,poleline,0
11048,seine,0
11048,trap,0
11130,btmtrawl,0
11130,dredge,0
11130,gillnet,0
11130,longline,0
11130,midtrawl,0
11130,poleline,4
11130,seine,0
11130,trap,0
11140,btmtrawl,0
11140,dredge,0
11140,gillnet,1
11140,longline,0
11140,midtrawl,0
11140,poleline,0
11140,seine,2
11140,trap,1
11141,btmtrawl,4
11141,dredge,0
11141,gillnet,5
11141,longline,0
11141,midtrawl,2
11141,poleline,0
11141,seine,0
11141,trap,0
11142,btmtrawl,0
11142,dredge,0
11142,gillnet,1
11142,longline,0
11142,midtrawl,0
11142,poleline,0
11142,seine,0
11142,trap,0
11143,btmtrawl,5
11143,dredge,0
11143,gillnet,1
11143,longline,0
11143,midtrawl,4
11143,poleline,0
11143,seine,0
11143,trap,1
11145,btmtrawl,2
11145,dredge,0
11145,gillnet,14
11145,longline,0
11145,midtrawl,0
11145,poleline,0
11145,seine,1
11145,trap,1
11146,btmtrawl,0
11146,dredge,0
