range_km2,iucn_sid
NA,132915
NA,132916
NA,132917
NA,132918
NA,132919
NA,132920
NA,132921
NA,132922
NA,132923
NA,132924
NA,132925
62991.071155913036,132926
NA,132927
NA,132928
NA,132929
NA,132930
NA,132931
NA,132932
NA,132933
11306.850995598683,132934
NA,132935
NA,132936
NA,132937
NA,132938
NA,132939
NA,132940
40855.03736388796,132941
32602.81756384134,132942
NA,132943
NA,132944
14825.178326604595,132945
NA,132946
NA,132947
NA,132948
NA,132949
NA,132950
229231.82056713628,132951
NA,132952
222928.69647921095,132953
NA,132954
229337.48391049748,132955
NA,132956
NA,132957
514095.8281115903,132958
46339.92543785349,132959
NA,132960
27567.653618293458,132961
NA,132962
927893.565547763,132963
155808.02241757928,132964
NA,132965
NA,132966
NA,132967
NA,132968
NA,132969
906382.7792941879,132970
NA,132971
NA,132972
NA,132973
NA,132974
NA,132975
NA,132976
NA,132977
NA,132978
NA,132979
NA,132980
NA,132981
10318.331113607765,132982
NA,132983
NA,132984
NA,132985
NA,132986
NA,132987
NA,132988
11465.782628381454,132989
NA,132990
NA,132991
NA,132992
NA,132993
NA,132994
NA,132995
NA,132996
NA,132997
NA,132998
NA,132999
NA,133000
NA,133001
NA,133002
NA,133003
NA,133004
229337.48391049748,133005
923219.0541653084,133006
NA,133007
NA,133008
243556.6262130504,133009
NA,133010
NA,133011
1005674.8850237116,133012
NA,133013
NA,133014
NA,133015
NA,133016
NA,133017
NA,133018
NA,133019
NA,133020
NA,133021
NA,133022
NA,133023
NA,133024
NA,133025
NA,133026
NA,133027
NA,133028
NA,133029
NA,133030
NA,133031
NA,133032
NA,133033
NA,133034
NA,133035
NA,133036
748755.7755311835,133037
NA,133038
1631198.3845247081,133039
NA,133040
NA,133041
576185.7045369488,133042
NA,133043
NA,133044
359593.31564151193,133045
NA,133046
891588.1647274642,133047
NA,133048
NA,133049
NA,133050
NA,133051
229231.82056713628,133052
NA,133053
NA,133054
NA,133055
294118.71915913234,133056
NA,133057
NA,133058
NA,133059
NA,133060
NA,133061
905200.3977468659,133062
NA,133063
NA,133064
NA,133066
NA,133067
NA,133068
NA,133069
NA,133070
NA,133071
81176.5184603089,133072
33426.29304107707,133073
332846.517625733,133074
NA,133075
NA,133076
NA,133077
NA,133078
NA,133079
NA,133080
NA,133081
NA,133082
NA,133083
NA,133084
NA,133085
NA,133086
NA,133087
NA,133088
NA,133089
NA,133090
NA,133091
NA,133092
NA,133093
NA,133094
NA,133095
339017.7808313217,133096
NA,133097
NA,133098
NA,133099
NA,133100
NA,133101
1010180.8590122481,133102
NA,133103
4945.219133720011,133104
NA,133105
NA,133106
NA,133107
301439.1803730922,133108
NA,133109
NA,133110
229231.82056713628,133111
NA,133112
NA,133113
1642810.873223624,133114
NA,133115
NA,133116
NA,133117
NA,133118
58562.816504537936,133119
NA,133120
16094.884982457635,133121
NA,133122
NA,133123
933073.6891481858,133124
NA,133125
NA,133126
NA,133127
NA,133128
NA,133129
23093.989910986063,133130
NA,133131
NA,133132
NA,133133
970930.8565801485,133134
NA,133135
NA,133136
554126.5166527419,133137
229231.82056713628,133138
NA,133139
NA,133140
NA,133141
NA,133142
89742.23531780843,133143
NA,133144
NA,133145
NA,133146
NA,133147
NA,133148
328957.0587021486,133149
NA,133150
267545.69815603,133151
NA,133152
NA,133153
NA,133154
986385.6487312537,133155
NA,133156
NA,133157
NA,133158
320891.71456686716,133159
NA,133160
NA,133161
NA,133162
NA,133163
NA,133164
NA,133165
NA,133166
NA,133167
NA,133168
339017.7808313217,133169
15838.149255548009,133170
NA,133171
NA,133172
NA,133173
NA,133174
NA,133175
NA,133176
NA,133177
NA,133178
NA,133179
NA,133180
NA,133182
NA,133183
NA,133184
NA,133185
NA,133186
312181.91148895293,133187
NA,133188
NA,133189
NA,133190
NA,133191
NA,133192
NA,133193
NA,133194
NA,133195
NA,133196
NA,133197
NA,133198
7433.983817576934,133199
NA,133200
NA,133201
187318.40329237442,133202
NA,133203
NA,133204
NA,133205
NA,133206
NA,133207
NA,133208
NA,133209
NA,133210
NA,133211
906288.4682057564,133212
NA,133213
NA,133214
NA,133215
NA,133216
904186.55359976,133217
NA,133218
NA,133219
NA,133220
11465.782628381454,133221
NA,133222
NA,133223
1027690.4102314318,133224
NA,133225
NA,133226
NA,133227
418255.68264068145,133228
31869.28691732756,133229
NA,133230
NA,133231
NA,133232
NA,133233
339017.7808313217,133234
NA,133235
NA,133236
NA,133237
NA,133238
NA,133239
NA,133240
58562.816504537936,133241
NA,133242
NA,133243
NA,133244
NA,133245
NA,133246
NA,133247
NA,133248
NA,133249
NA,133250
390760.50878763245,133251
NA,133252
NA,133253
11574.06573250898,133254
946912.094106275,133255
NA,133256
933624.7103638295,133257
NA,133258
NA,133259
NA,133260
NA,133261
NA,133262
NA,133263
NA,133264
NA,133265
NA,133266
NA,133267
NA,133268
NA,133269
478608.66316413623,133270
NA,133271
NA,133272
NA,133273
NA,133274
32636.874341226376,133275
1202232.2813775814,133276
NA,133277
NA,133278
NA,133279
NA,133280
970001.717751679,133281
32125.14939301017,133282
NA,133283
NA,133284
NA,133285
11465.782628381454,133286
NA,133287
NA,133288
NA,133289
NA,133290
NA,133291
NA,133292
NA,133293
NA,133294
482271.95015355974,133295
NA,133296
229231.82056713628,133297
NA,133298
NA,133299
637461.7111718114,133300
NA,133301
NA,133302
NA,133303
NA,133304
139005.8044356338,133305
NA,133306
NA,133307
NA,133308
NA,133309
NA,133310
NA,133311
NA,133312
NA,133313
NA,133314
NA,133315
NA,133316
NA,133317
NA,133318
NA,133319
NA,133320
NA,133321
NA,133322
NA,133323
NA,133324
NA,133325
NA,133326
NA,133327
8053.991886452983,133328
NA,133329
NA,133330
55974.50122016386,133331
NA,133332
NA,133333
NA,133334
NA,133335
229231.82056713628,133336
NA,133337
NA,133338
468865.80435071606,133339
NA,133340
NA,133341
311197.75772473734,133342
NA,133343
229337.48391049748,133344
NA,133345
NA,133346
569341.1649622377,133347
395566.0077848612,133348
31869.28691732756,133349
24565.417442829126,133350
NA,133351
NA,133352
NA,133353
NA,133354
NA,133355
891588.1647274642,133356
NA,133357
NA,133358
NA,133359
NA,133360
NA,133361
NA,133362
58562.816504537936,133363
NA,133364
NA,133365
NA,133366
NA,133367
NA,133368
53528.52580214773,133369
NA,133370
NA,133371
NA,133372
966722.6611104463,133373
NA,133374
NA,133375
NA,133376
899757.4256877109,133377
NA,133378
NA,133379
NA,133380
908992.9258403432,133381
NA,133382
NA,133383
NA,133384
36608.4188779853,133385
NA,133386
NA,133387
242707.8264710934,133388
984178.0707850453,133389
NA,133390
NA,133391
NA,133392
NA,133393
NA,133394
NA,133395
NA,133396
NA,133397
NA,133398
130830.43058926295,133399
918705.2209267503,133400
NA,133401
NA,133402
NA,133403
NA,133404
NA,133405
NA,133406
NA,133407
NA,133408
NA,133409
NA,133410
NA,133411
NA,133412
NA,133413
NA,133414
NA,133415
355111.79253243987,133416
NA,133417
NA,133418
NA,133419
NA,133420
10823.070061454882,133421
NA,133422
NA,133423
NA,133424
1066446.1526941948,133425
NA,133426
NA,133427
NA,133428
NA,133429
NA,133430
NA,133431
NA,133432
NA,133433
NA,133434
NA,133435
894519.6675582638,133436
NA,133437
NA,133438
380489.3333788401,133439
NA,133440
NA,133441
NA,133442
NA,133443
