iucn_sid,assess_gp,kingdom,phylum,class,order,family,rank
60125,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Chondrichthyes
60126,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Chondrichthyes
60127,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Chondrichthyes
60129,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Rhinopteridae,Chondrichthyes
60134,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Chondrichthyes
60135,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Chondrichthyes
60153,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
60154,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
60181,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinidae,Chondrichthyes
60184,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Chondrichthyes
60187,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Chondrichthyes
60189,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Chondrichthyes
60209,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Chondrichthyes
60210,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Dalatiidae,Chondrichthyes
60211,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Dalatiidae,Chondrichthyes
60231,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
60232,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
60233,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
60234,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
60237,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
61400,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
61402,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,Chondrichthyes
61403,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,Chondrichthyes
63101,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63102,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63106,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63107,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,Chondrichthyes
63109,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63112,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63117,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63119,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
63123,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Chondrichthyes
63124,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
63127,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63128,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Chondrichthyes
63141,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Oxynotidae,Chondrichthyes
63142,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,Chondrichthyes
63143,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63145,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
63158,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinobatidae,Chondrichthyes
130393378,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squatiniformes,Squatinidae,Chondrichthyes
14134315,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
14134431,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Gymnuridae,Chondrichthyes
158616,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Chondrichthyes
161330,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Proscylliidae,Chondrichthyes
161331,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161333,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161335,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urotrygonidae,Chondrichthyes
161345,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161393,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161406,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161407,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
161410,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Chondrichthyes
161411,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Chondrichthyes
161414,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161446,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
