iucn_sid,cat_score,sens,code,stressor,score_num
69738927,0.2,FALSE,11.1,slr,NA
69738927,0.2,FALSE,11.1,oa,NA
69793032,0,FALSE,11.1,sst,NA
69793032,0,FALSE,11.1,slr,NA
69793032,0,FALSE,11.1,oa,NA
69793068,0.2,TRUE,11.1,sst,NA
69793068,0.2,TRUE,11.1,slr,NA
69793068,0.2,TRUE,11.1,oa,NA
69793201,0,TRUE,11.1,sst,NA
69793201,0,TRUE,11.1,slr,NA
69793201,0,TRUE,11.1,oa,NA
69793564,0,TRUE,11.1,sst,NA
69793564,0,TRUE,11.1,slr,NA
69793564,0,TRUE,11.1,oa,NA
69793633,0,TRUE,11.1,sst,NA
69793633,0,TRUE,11.1,slr,NA
69793633,0,TRUE,11.1,oa,NA
69794152,0,TRUE,11.1,sst,NA
69794152,0,TRUE,11.1,slr,NA
69794152,0,TRUE,11.1,oa,NA
69798179,0,TRUE,11.1,sst,NA
69798179,0,TRUE,11.1,slr,NA
69798179,0,TRUE,11.1,oa,NA
69798315,0,FALSE,11.1,sst,NA
69798315,0,FALSE,11.1,slr,NA
69798315,0,FALSE,11.1,oa,NA
69798315,0,FALSE,11.5,oa,NA
69798315,0,FALSE,11.5,slr,NA
69798315,0,FALSE,11.5,sst,NA
69799689,0,FALSE,11.1,sst,NA
69799689,0,FALSE,11.1,slr,NA
69799689,0,FALSE,11.1,oa,NA
69799689,0,FALSE,11.5,oa,NA
69799689,0,FALSE,11.5,slr,NA
69799689,0,FALSE,11.5,sst,NA
69917860,0,TRUE,11.1,sst,NA
69917860,0,TRUE,11.1,slr,NA
69917860,0,TRUE,11.1,oa,NA
69918242,0,TRUE,11.1,sst,NA
69918242,0,TRUE,11.1,slr,NA
69918242,0,TRUE,11.1,oa,NA
69918402,0,TRUE,11.1,sst,NA
69918402,0,TRUE,11.1,slr,NA
69918402,0,TRUE,11.1,oa,NA
69919546,0.2,FALSE,11.1,sst,NA
69919546,0.2,FALSE,11.1,slr,NA
69919546,0.2,FALSE,11.1,oa,NA
69919569,0,TRUE,11.1,sst,NA
69919569,0,TRUE,11.1,slr,NA
69919569,0,TRUE,11.1,oa,NA
69919731,0,TRUE,11.1,sst,NA
69919731,0,TRUE,11.1,slr,NA
69919731,0,TRUE,11.1,oa,NA
69920041,0,TRUE,11.1,sst,4
69920041,0,TRUE,11.1,slr,4
69920041,0,TRUE,11.1,oa,4
69920173,0,TRUE,11.1,sst,4
69920173,0,TRUE,11.1,slr,4
69920173,0,TRUE,11.1,oa,4
69920296,0,TRUE,11.1,sst,4
69920296,0,TRUE,11.1,slr,4
69920296,0,TRUE,11.1,oa,4
69920346,0,TRUE,11.1,sst,4
69920346,0,TRUE,11.1,slr,4
69920346,0,TRUE,11.1,oa,4
70010721,0.4,TRUE,11.1,sst,NA
70010721,0.4,TRUE,11.1,slr,NA
70010721,0.4,TRUE,11.1,oa,NA
70010872,0,FALSE,11.1,sst,NA
70010872,0,FALSE,11.1,slr,NA
70010872,0,FALSE,11.1,oa,NA
70011163,0,FALSE,11.1,sst,NA
70011163,0,FALSE,11.1,slr,NA
70011163,0,FALSE,11.1,oa,NA
72050476,0.4,TRUE,11.1,sst,3
72050476,0.4,TRUE,11.1,slr,3
72050476,0.4,TRUE,11.1,oa,3
74491261,0,TRUE,11.1,sst,5
74491261,0,TRUE,11.1,slr,5
74491261,0,TRUE,11.1,oa,5
79800103,0,TRUE,11.1,sst,NA
79800103,0,TRUE,11.1,slr,NA
79800103,0,TRUE,11.1,oa,NA
79800116,0,TRUE,11.1,sst,NA
79800116,0,TRUE,11.1,slr,NA
79800116,0,TRUE,11.1,oa,NA
79800135,0,TRUE,11.1,sst,3
79800135,0,TRUE,11.1,slr,3
79800135,0,TRUE,11.1,oa,3
79800214,0,FALSE,11.1,sst,NA
79800214,0,FALSE,11.1,slr,NA
79800214,0,FALSE,11.1,oa,NA
79800470,0,FALSE,11.5,oa,NA
79800470,0,FALSE,11.5,slr,NA
79800470,0,FALSE,11.5,sst,NA
79802677,0.4,FALSE,11.1,sst,NA
79802677,0.4,FALSE,11.1,slr,NA
79802677,0.4,FALSE,11.1,oa,NA
83776383,0.6,TRUE,11.3,sst,3
83776383,0.6,TRUE,11.3,oa,3
84131194,0,TRUE,11.1,sst,3
84131194,0,TRUE,11.1,slr,3
84131194,0,TRUE,11.1,oa,3
84131194,0,TRUE,11.3,sst,3
84131194,0,TRUE,11.3,oa,3
84156809,0.8,TRUE,11.3,sst,3
84156809,0.8,TRUE,11.3,oa,3
87568608,0,FALSE,11.1,sst,NA
87568608,0,FALSE,11.1,slr,NA
87568608,0,FALSE,11.1,oa,NA
87568608,0,FALSE,11.3,sst,NA
87568608,0,FALSE,11.3,oa,NA
91602885,0,FALSE,11.1,sst,NA
91602885,0,FALSE,11.1,slr,NA
91602885,0,FALSE,11.1,oa,NA
98471199,NA,FALSE,11.1,sst,NA
98471199,NA,FALSE,11.1,slr,NA
98471199,NA,FALSE,11.1,oa,NA
98471199,NA,FALSE,11.3,sst,NA
98471199,NA,FALSE,11.3,oa,NA
98471289,0.6,FALSE,11.5,oa,NA
98471289,0.6,FALSE,11.5,slr,NA
98471289,0.6,FALSE,11.5,sst,NA
98471433,0.6,FALSE,11.5,oa,NA
98471433,0.6,FALSE,11.5,slr,NA
98471433,0.6,FALSE,11.5,sst,NA
98841657,0,FALSE,11.5,oa,NA
98841657,0,FALSE,11.5,slr,NA
