stressor,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2,impact_2plus_km2,impact_3plus_km2,range_km2,iucn_sid
sst,3550134.6451183395,3275079.8636004184,3138764.544859252,36042.55235054509,30114.92611389186,NA,NA,3754611.5527647627,133650
cum_climate,3661702.9101762185,3423667.848628031,3153626.3997362102,36042.55235054509,30114.92611389186,2579451.791989007,0,3754611.5527647627,133650
art_fish,1883002.8645480569,950535.2114540356,3036.2929371043,76162.31254027314,138.8468679447112,NA,NA,3754611.5527647627,133650
cum_fishing,1883002.8645480569,950535.2114540356,3036.2929371043,76162.31254027314,138.8468679447112,0,0,3754611.5527647627,133650
direct_human,415494.4639776597,46667.394505294804,0,6943.216901958123,0,NA,NA,3754611.5527647627,133650
cum_land-based,415494.4639776597,46667.394505294804,0,6943.216901958123,0,0,0,3754611.5527647627,133650
shipping,2692398.0465506157,1999041.3001037478,396719.5720960121,80759.10461233303,30070.39032808066,NA,NA,3754611.5527647627,133650
cum_ocean,2692398.0465506157,1999041.3001037478,396719.5720960121,80759.10461233303,30070.39032808066,0,0,3754611.5527647627,133650
art_fish,3344852.600327524,1329455.313045519,9682.60455413556,376639.170581273,30224.082461767495,NA,NA,7462616.838506112,133651
direct_human,627615.8092331906,68847.96411649094,210.45343392087284,8874.847624178223,0,NA,NA,7462616.838506112,133651
oa,4957545.054563131,4108199.5228763493,177369.4572303157,0,0,NA,NA,7462616.838506112,133651
shipping,5383053.957694722,3800563.754618163,720961.9498159644,312160.08009609394,75716.08141991257,NA,NA,7462616.838506112,133651
sst,6421108.108237893,5680598.43982768,5379796.732498406,54817.44395999982,46249.1073747986,NA,NA,7462616.838506112,133651
cum_all,7254054.863736041,6007936.491386613,4912702.7538682055,113599.4463858319,30205.744187968296,NA,NA,7462616.838506112,133651
oa,4957545.054563131,4108199.5228763493,177369.4572303157,0,0,NA,NA,7462616.838506112,133651
sst,6421108.108237893,5680598.43982768,5379796.732498406,54817.44395999982,46249.1073747986,NA,NA,7462616.838506112,133651
cum_climate,6731835.183796499,6091217.544435395,5394658.587375364,52785.38940807865,44515.70458821523,NA,0,7462616.838506112,133651
art_fish,3344852.600327524,1329455.313045519,9682.60455413556,376639.170581273,30224.082461767495,NA,NA,7462616.838506112,133651
cum_fishing,3344852.600327524,1329455.313045519,9682.60455413556,376639.170581273,30224.082461767495,0,0,7462616.838506112,133651
direct_human,627615.8092331906,68847.96411649094,210.45343392087284,8874.847624178223,0,NA,NA,7462616.838506112,133651
cum_land-based,627615.8092331906,68847.96411649094,210.45343392087284,8874.847624178223,0,0,0,7462616.838506112,133651
shipping,5383053.957694722,3800563.754618163,720961.9498159644,312160.08009609394,75716.08141991257,NA,NA,7462616.838506112,133651
cum_ocean,5383053.957694722,3800563.754618163,720961.9498159644,312160.08009609394,75716.08141991257,0,0,7462616.838506112,133651
art_fish,2979586.647762774,1288172.3828113535,29712.357510795904,165567.47303934552,2716.683151765153,NA,NA,6767267.33379325,133654
direct_human,611734.8705865302,68184.2935334993,210.45343392087284,9108.005580554469,0,NA,NA,6767267.33379325,133654
oa,4355515.493543158,3742065.5590704973,177369.4572303157,0,0,NA,NA,6767267.33379325,133654
shipping,4922911.055306938,3465207.514284734,630082.7420067664,307790.3332045016,85375.10822398333,NA,NA,6767267.33379325,133654
sst,5693018.6855819225,4768177.131621671,4492418.509915506,81439.36697021249,65706.88106589821,NA,NA,6767267.33379325,133654
cum_all,6556747.530783042,5546122.187099746,4305456.3928572675,99815.18294684018,27889.88314314309,NA,NA,6767267.33379325,133654
oa,4355515.493543158,3742065.5590704973,177369.4572303157,0,0,NA,NA,6767267.33379325,133654
sst,5693018.6855819225,4768177.131621671,4492418.509915506,81439.36697021249,65706.88106589821,NA,NA,6767267.33379325,133654
cum_climate,6036764.246059732,5384189.183919834,4507280.364792463,52785.38940807865,44515.70458821523,NA,0,6767267.33379325,133654
art_fish,2979586.647762774,1288172.3828113535,29712.357510795904,165567.47303934552,2716.683151765153,NA,NA,6767267.33379325,133654
cum_fishing,2979586.647762774,1288172.3828113535,29712.357510795904,165567.47303934552,2716.683151765153,0,0,6767267.33379325,133654
direct_human,611734.8705865302,68184.2935334993,210.45343392087284,9108.005580554469,0,NA,NA,6767267.33379325,133654
cum_land-based,611734.8705865302,68184.2935334993,210.45343392087284,9108.005580554469,0,0,0,6767267.33379325,133654
shipping,4922911.055306938,3465207.514284734,630082.7420067664,307790.3332045016,85375.10822398333,NA,NA,6767267.33379325,133654
cum_ocean,4922911.055306938,3465207.514284734,630082.7420067664,307790.3332045016,85375.10822398333,0,0,6767267.33379325,133654
art_fish,1608122.7331901218,894397.4124118704,3036.2929371043,12180.975025107256,75.09956458619926,NA,NA,2407265.078068709,133656
direct_human,365197.83923916897,44286.912897913135,0,6545.014550273727,0,NA,NA,2407265.078068709,133656
oa,2261151.0124121727,2028521.3731499987,177369.4572303157,0,0,NA,NA,2407265.078068709,133656
