iucn_sid,taxon,var_priority,priority
132868,reef_building_corals,6.536033984320128e-8,0.07681836797125376
132869,reef_building_corals,1.7355359404217817e-7,0.06120385557901562
132870,reef_building_corals,3.022164897577629e-7,0.06147513805929895
132871,reef_building_corals,1.7956975865283128e-8,0.06769537982824085
132872,reef_building_corals,1.4326287048012841e-8,0.06595860757973376
132873,reef_building_corals,1.6971712463331895e-8,0.06580449456989838
132878,reef_building_corals,1.8413902839589198e-7,0.06119753638122158
132879,reef_building_corals,1.2127249597687602e-8,0.06736694101620136
132880,reef_building_corals,1.59095920694382e-7,0.06098797274101683
132888,reef_building_corals,1.21274351349102e-8,0.06409414562502255
132890,reef_building_corals,2.3104047998629088e-7,0.06135684902270955
132892,reef_building_corals,1.7181277030400273e-8,0.0678493828232295
132893,reef_building_corals,5.4096653134496715e-9,0.07256827962785786
132894,reef_building_corals,2.2223127121400854e-7,0.061167617429854146
132896,reef_building_corals,2.6108314317245585e-8,0.06550944684154744
132897,reef_building_corals,3.440287762426026e-9,0.06729530645138486
132898,reef_building_corals,0,0.08503249675771905
132899,reef_building_corals,3.093197120361423e-7,0.06480746994588993
132901,reef_building_corals,5.663797107460334e-11,0.07195317802952805
132904,reef_building_corals,2.885789086244911e-8,0.06603969526526912
132905,reef_building_corals,2.3342843864793337e-7,0.06136405690794146
132907,reef_building_corals,8.654040022419876e-9,0.06779753334376591
132909,reef_building_corals,1.0652717346783629e-7,0.06576620008523193
132910,reef_building_corals,1.528649392310127e-7,0.06096280535235627
132913,reef_building_corals,6.606501796213221e-9,0.07423609139692654
132918,reef_building_corals,1.8294546064737836e-7,0.07689146290832921
132920,reef_building_corals,5.4973048418352406e-8,0.06712644151434191
132921,reef_building_corals,4.7154631916659915e-9,0.07736765035298297
132924,reef_building_corals,1.870187394322779e-8,0.07086943192126197
132927,reef_building_corals,1.0073209519169938e-7,0.0659197967672392
132928,reef_building_corals,1.9211047193852493e-7,0.06126446102659289
132929,reef_building_corals,7.409261974030285e-9,0.06750258760803858
132930,reef_building_corals,6.376718040842973e-9,0.06884970925208506
132931,reef_building_corals,2.4049883756932857e-7,0.06139415855653474
132932,reef_building_corals,1.910638372770007e-8,0.06750945102082573
132933,reef_building_corals,2.9432144855007036e-8,0.06719253764808886
132935,reef_building_corals,1.8781691970116284e-8,0.06803326223061737
132940,reef_building_corals,2.0396399216444346e-7,0.061265938063597286
132942,reef_building_corals,0,0.09937311558884022
132943,reef_building_corals,0,0.08983459783729424
132944,reef_building_corals,2.3633311404976543e-7,0.061333371937234
132948,reef_building_corals,2.667540772367113e-7,0.06137972782168902
132956,reef_building_corals,2.1245896574933298e-8,0.06517121847972085
132957,reef_building_corals,2.853676586916372e-7,0.06151101266385595
132959,reef_building_corals,0,0.09307729451193163
132964,reef_building_corals,0,0.08445829079787912
132967,reef_building_corals,1.0111091601195901e-8,0.06645286538341556
132968,reef_building_corals,1.9888292064946598e-8,0.08161741325612198
132969,reef_building_corals,2.064868074216261e-7,0.06127208054859217
132970,reef_building_corals,9.007734911578949e-10,0.07311379894413264
132972,reef_building_corals,2.0139862386048437e-8,0.0652897023086894
132973,reef_building_corals,3.8401465227709634e-8,0.06669493681798905
132974,reef_building_corals,1.9355403945417372e-8,0.06812531130567524
132976,reef_building_corals,1.0668249771059105e-8,0.06447937842351963
132977,reef_building_corals,5.971646092844751e-9,0.07274223439242988
132978,reef_building_corals,1.7445540146628225e-7,0.06104734431361484
