iucn_sid,stressor,sensitive
14051,dem_dest,FALSE
14051,dem_nondest_hb,FALSE
14051,dem_nondest_lb,TRUE
14051,pel_hb,NA
14051,pel_lb,NA
14052,art_fish,TRUE
14052,dem_dest,NA
14052,dem_nondest_hb,NA
14052,dem_nondest_lb,NA
14052,pel_hb,NA
14052,pel_lb,NA
14053,art_fish,FALSE
14053,dem_dest,NA
14053,dem_nondest_hb,NA
14053,dem_nondest_lb,NA
14053,pel_hb,NA
14053,pel_lb,NA
14054,art_fish,FALSE
14054,dem_dest,FALSE
14054,dem_nondest_hb,FALSE
14054,dem_nondest_lb,FALSE
14054,pel_hb,NA
14054,pel_lb,NA
14549,art_fish,TRUE
14549,dem_dest,FALSE
14549,dem_nondest_hb,TRUE
14549,dem_nondest_lb,TRUE
14549,pel_hb,TRUE
14549,pel_lb,TRUE
15106,art_fish,TRUE
15106,dem_dest,FALSE
15106,dem_nondest_hb,FALSE
15106,dem_nondest_lb,FALSE
15106,pel_hb,FALSE
15106,pel_lb,FALSE
15269,art_fish,FALSE
15269,dem_dest,NA
15269,dem_nondest_hb,NA
15269,dem_nondest_lb,NA
15269,pel_hb,NA
15269,pel_lb,NA
15419,art_fish,FALSE
15419,art_fish,TRUE
15419,dem_dest,TRUE
15419,dem_nondest_hb,TRUE
15419,dem_nondest_lb,FALSE
15419,pel_hb,TRUE
15419,pel_lb,FALSE
15421,art_fish,TRUE
15421,dem_dest,NA
15421,dem_nondest_hb,NA
15421,dem_nondest_lb,NA
15421,pel_hb,TRUE
15421,pel_lb,TRUE
15873,art_fish,FALSE
15873,dem_dest,FALSE
15873,dem_nondest_hb,FALSE
15873,dem_nondest_lb,FALSE
15873,pel_hb,NA
15873,pel_lb,NA
16564,art_fish,TRUE
16564,dem_dest,NA
16564,dem_nondest_hb,NA
16564,dem_nondest_lb,NA
16564,pel_hb,NA
16564,pel_lb,NA
17013,art_fish,TRUE
17013,dem_dest,NA
17013,dem_nondest_hb,NA
17013,dem_nondest_lb,NA
17013,pel_hb,NA
17013,pel_lb,NA
17023,art_fish,TRUE
17023,dem_dest,NA
17023,dem_nondest_hb,NA
17023,dem_nondest_lb,NA
17023,pel_hb,NA
17023,pel_lb,NA
17026,art_fish,NA
17026,dem_dest,FALSE
17026,dem_nondest_hb,FALSE
17026,dem_nondest_lb,FALSE
17026,pel_hb,FALSE
17026,pel_lb,FALSE
17027,art_fish,TRUE
17027,dem_dest,FALSE
17027,dem_nondest_hb,TRUE
17027,dem_nondest_lb,FALSE
17027,pel_hb,TRUE
17027,pel_lb,FALSE
17028,art_fish,NA
17028,dem_dest,NA
17028,dem_nondest_hb,NA
17028,dem_nondest_lb,NA
17028,pel_hb,TRUE
17028,pel_lb,FALSE
17029,art_fish,TRUE
17029,dem_dest,NA
17029,dem_nondest_hb,NA
17029,dem_nondest_lb,NA
17029,pel_hb,TRUE
17029,pel_lb,TRUE
17031,art_fish,TRUE
17031,dem_dest,NA
17031,dem_nondest_hb,NA
17031,dem_nondest_lb,NA
17031,pel_hb,FALSE
17031,pel_lb,FALSE
17032,art_fish,TRUE
17032,dem_dest,NA
17032,dem_nondest_hb,NA
17032,dem_nondest_lb,NA
17032,pel_hb,TRUE
17032,pel_lb,FALSE
18596,art_fish,TRUE
18596,dem_dest,NA
18596,dem_nondest_hb,NA
18596,dem_nondest_lb,NA
18596,pel_hb,TRUE
18596,pel_lb,TRUE
19488,art_fish,TRUE
19488,dem_dest,NA
19488,dem_nondest_hb,NA
19488,dem_nondest_lb,NA
19488,pel_hb,TRUE
19488,pel_lb,TRUE
19950,art_fish,FALSE
19950,dem_dest,FALSE
19950,dem_nondest_hb,FALSE
19950,dem_nondest_lb,FALSE
19950,pel_hb,NA
19950,pel_lb,NA
20047,art_fish,NA
20047,dem_dest,NA
20047,dem_nondest_hb,NA
20047,dem_nondest_lb,NA
20047,pel_hb,TRUE
20047,pel_lb,FALSE
20425,art_fish,TRUE
20425,dem_dest,FALSE
20425,dem_nondest_hb,TRUE
20425,dem_nondest_lb,FALSE
20425,pel_hb,TRUE
20425,pel_lb,FALSE
20729,art_fish,TRUE
20729,dem_dest,NA
20729,dem_nondest_hb,NA
20729,dem_nondest_lb,NA
20729,pel_hb,FALSE
20729,pel_lb,FALSE
20730,art_fish,TRUE
20730,dem_dest,NA
20730,dem_nondest_hb,NA
20730,dem_nondest_lb,NA
20730,pel_hb,TRUE
20730,pel_lb,TRUE
20731,art_fish,TRUE
20731,dem_dest,NA
20731,dem_nondest_hb,NA
20731,dem_nondest_lb,NA
20731,pel_hb,TRUE
