iucn_sid,sens,stressor,code
17023,TRUE,direct_human,1.2
17023,TRUE,organic,9.2.1
17027,TRUE,direct_human,1.2
17096,TRUE,direct_human,1.1
17096,TRUE,direct_human,1.2
17096,TRUE,nutrient,9.1.1
17177,TRUE,direct_human,1.1
17177,TRUE,direct_human,1.2
17177,TRUE,nutrient,9.1.1
17978,FALSE,shipping,4.3
17978,FALSE,direct_human,6.1
17978,FALSE,nutrient,9.1.1
17978,FALSE,nutrient,9.1.2
17978,FALSE,organic,9.1.2
17978,FALSE,organic,9.2.1
18145,FALSE,direct_human,1.1
18145,FALSE,direct_human,1.2
18145,FALSE,direct_human,1.3
18175,TRUE,direct_human,1.1
18175,FALSE,direct_human,1.2
18428,TRUE,shipping,4.3
18428,TRUE,nutrient,9.1.1
18428,TRUE,organic,9.2.1
19388,FALSE,direct_human,1.1
19488,TRUE,shipping,4.3
19488,TRUE,direct_human,6.1
19735,FALSE,direct_human,1.1
19735,FALSE,direct_human,1.3
19798,FALSE,nutrient,9.1.1
19798,FALSE,nutrient,9.1.2
19798,FALSE,organic,9.1.2
19798,FALSE,nutrient,9.3.1
19798,FALSE,organic,9.3.3
19896,FALSE,nutrient,9.3.1
19896,FALSE,organic,9.3.3
19897,FALSE,nutrient,9.3.1
19897,FALSE,organic,9.3.3
19898,FALSE,direct_human,1.1
19898,FALSE,direct_human,1.2
19898,FALSE,direct_human,1.3
19898,FALSE,direct_human,6.1
19950,FALSE,direct_human,1.1
19950,FALSE,direct_human,1.2
19950,FALSE,direct_human,1.3
20425,TRUE,direct_human,1.1
20425,TRUE,direct_human,1.2
20425,TRUE,shipping,4.3
20733,TRUE,direct_human,6.1
20855,FALSE,direct_human,1.1
21341,FALSE,direct_human,1.1
21341,FALSE,direct_human,1.2
21341,FALSE,direct_human,1.3
21341,FALSE,nutrient,2.4.1
21341,FALSE,nutrient,2.4.2
21341,FALSE,nutrient,9.1.1
21341,FALSE,nutrient,9.1.2
21341,FALSE,organic,9.1.2
21341,FALSE,organic,9.2.1
21341,FALSE,organic,9.2.2
21341,FALSE,nutrient,9.3.1
21341,FALSE,organic,9.3.3
21342,FALSE,direct_human,1.1
21342,FALSE,direct_human,1.2
21342,FALSE,direct_human,1.3
21342,FALSE,nutrient,2.4.1
21342,FALSE,nutrient,2.4.2
21342,FALSE,nutrient,9.1.1
21342,FALSE,nutrient,9.1.2
21342,FALSE,organic,9.1.2
21342,FALSE,organic,9.2.1
21342,FALSE,organic,9.2.2
21342,FALSE,nutrient,9.3.1
21342,FALSE,organic,9.3.3
21343,FALSE,direct_human,1.1
21343,FALSE,direct_human,1.2
21343,FALSE,direct_human,1.3
21343,FALSE,nutrient,2.4.1
21343,FALSE,nutrient,2.4.2
21343,FALSE,nutrient,9.1.1
21343,FALSE,nutrient,9.1.2
21343,FALSE,organic,9.1.2
21343,FALSE,organic,9.2.1
21343,FALSE,organic,9.2.2
21343,FALSE,nutrient,9.3.1
21343,FALSE,organic,9.3.3
22103,TRUE,direct_human,1.1
22103,TRUE,direct_human,1.2
22103,TRUE,direct_human,1.3
22103,TRUE,nutrient,2.4.3
22103,TRUE,shipping,4.3
22103,TRUE,direct_human,6.1
22103,TRUE,nutrient,9.1.1
22104,TRUE,direct_human,1.1
22104,TRUE,direct_human,1.2
22104,FALSE,direct_human,1.3
22104,TRUE,nutrient,2.4.3
22104,TRUE,shipping,4.3
22104,FALSE,direct_human,6.1
22104,TRUE,direct_human,6.3
22104,TRUE,nutrient,9.1.1
22104,TRUE,organic,9.2.1
22104,FALSE,nutrient,9.3.1
22104,TRUE,organic,9.3.3
22563,TRUE,direct_human,1.1
22563,TRUE,direct_human,1.2
22563,TRUE,direct_human,1.3
22563,TRUE,shipping,4.3
22563,TRUE,direct_human,6.1
22823,TRUE,direct_human,1.2
22823,TRUE,direct_human,1.3
22823,TRUE,shipping,4.3
22823,FALSE,direct_human,6.1
22823,FALSE,organic,9.2.1
22823,TRUE,organic,9.3.3
31382,TRUE,direct_human,1.1
31382,TRUE,nutrient,2.4.3
33705,TRUE,direct_human,1.1
33705,TRUE,nutrient,2.4.3
34364,TRUE,direct_human,1.1
34364,TRUE,nutrient,2.4.3
39332,FALSE,direct_human,1.1
39332,FALSE,direct_human,1.2
39332,FALSE,direct_human,1.3
39332,FALSE,direct_human,6.1
39345,TRUE,direct_human,1.1
39346,TRUE,direct_human,1.1
39371,TRUE,direct_human,1.1
39371,FALSE,organic,9.2.1
39379,TRUE,direct_human,1.1
39379,TRUE,organic,9.2.2
39387,TRUE,direct_human,6.1
39389,FALSE,direct_human,1.1
39389,FALSE,direct_human,1.2
39389,FALSE,nutrient,9.1.1
39389,FALSE,nutrient,9.1.2
39389,FALSE,organic,9.1.2
