eez,impact_mean,impact_var,a_km2,impact
136,3.146063486201167,84.74256674348189,119043.29167968156,fishing
137,11.08679253875779,96.45681236639741,1077088.4596856267,fishing
138,12.074542558586264,318.35361023960985,836377.7577110757,fishing
139,14.285487492593104,370.6933614210879,473597.9502217499,fishing
140,4.967724018314401,50.350804982140836,138363.09174008973,fishing
141,7.363141843975367,37.634349034737696,266109.20061835664,fishing
143,5.231562493297495,36.45123932481349,752858.307454905,fishing
144,0.6553010011637128,1.3187789347704488,291783.646569206,fishing
145,0.9804918195891343,3.348420766365632,2267485.573094356,fishing
146,0.9619957243557934,12.136427462833376,839965.0719223757,fishing
147,0.4227961133468014,6.313054023152859,4796046.929757404,fishing
148,0.9739135007985139,13.381764641709943,1654924.6079818942,fishing
149,1.4374644339331917,16.00423669772816,318676.27731966245,fishing
150,2.2377792266972207,21.207911072433415,353577.4909069377,fishing
151,2.160096210044836,24.69003334553633,406868.4924904729,fishing
152,5.779882574641579,502.8337202038609,132164.75779320666,fishing
153,0.9786970065142452,13.669461567588533,1971930.3565938715,fishing
154,0.2013489802522999,2.2421949199896454,318189.8766562425,fishing
155,0.40537840969230515,6.221839958894419,668228.9554326971,fishing
156,0.4756028926100874,7.655258756924872,322216.4359581104,fishing
157,1.3050860539529274,19.0934896483476,746719.3545349736,fishing
158,1.881002827044983,20.894088542732142,438123.0108746276,fishing
159,3.1245052214895566,33.09508914321703,444836.56279362744,fishing
161,0.2744285284167689,4.867437599052131,262077.4018264462,fishing
162,2.986328812530446,73.16382479040624,4095575.8091036263,fishing
163,6.259309394077349,124.57205214176221,8586398.889644088,fishing
164,15.486243635507122,221.93461943885998,36151.70869871595,fishing
166,3.395132577349684,87.12795762484348,245907.4172813705,fishing
167,10.524286188908674,238.46627915573768,136527.51862587794,fishing
168,8.371483567187335,188.57089686898382,128999.22373797631,fishing
169,1.984147729624428,56.277596360238334,135642.0423483282,fishing
171,10.202515732911747,291.0858582059573,3661285.49596286,fishing
172,19.43346235414173,154.23185385579927,1083156.6793353872,fishing
173,19.79406949726132,341.15484472504016,129273.42445390145,fishing
174,3.0019315106692064,1.3454546646105854,80776.56962516296,fishing
175,14.080190361102051,22.95874156025479,100555.69956351221,fishing
176,14.75336257891486,28.873766771701852,56527.2689876618,fishing
177,19.86689308450994,10.407498129414668,64024.12680058959,fishing
178,4.552607685053466,1.0283786971753162,32058.782339906877,fishing
179,21.820968428390028,292.25193243832234,343182.31371182395,fishing
180,21.231870985602136,115.76200157258569,725087.1863949904,fishing
181,15.52276226895721,209.85216113771114,426095.7280033806,fishing
182,16.01662336770616,313.574481184483,555625.8881698243,fishing
183,11.475918084883478,328.8254032079942,311578.49505886826,fishing
184,19.039292363459754,265.7636279795471,538616.7096219823,fishing
185,25.833333333333332,234.72222222222217,211.32668672239527,fishing
186,22.333450779228205,209.33318717982814,7435.730324852892,fishing
187,35.63283938651478,119.03424649199053,55571.059393296346,fishing
188,28.519927687410586,607.0805757484228,160.67814094438978,fishing
189,4.179384393642661,0.31715558436776975,6099.656645713775,fishing
190,46.58217616322057,1094.3227401834079,32260.503263525723,fishing
191,54.715497273171216,846.4017953460648,165742.12320405524,fishing
192,60.41453643305261,1345.4412819019008,580.7117620858257,fishing
193,19.791166381721222,604.1696450761086,105821.40174462312,fishing
194,24.181475479201612,588.0955130707515,109877.65157768007,fishing
195,11.360896993251663,317.2349526490923,173782.14305001375,fishing
196,21.372346095474413,673.4686236061302,182427.32569989344,fishing
197,52.72334881696261,303.87311852891764,14856.615370186728,fishing
198,9.711156945020662,364.70649724794265,193910.57334169527,fishing
199,17.564630836663042,413.80484968695464,13139.804366363698,fishing
200,14.07087944127572,274.86091708018813,494792.6196783616,fishing
202,21.77895846850376,2804.4320675013414,243084.1975332458,fishing
203,22.840073122041698,1306.2391879120717,1636035.3204569768,fishing
204,38.505452741759306,504.88733978067165,83090.68417068315,fishing
205,69.70114014539821,7130.888992776865,512017.4911812634,fishing
206,211.91113204101768,22640.512378337724,448354.8902229416,fishing
207,95.54863345299731,10179.13685918668,646356.6433240613,fishing
208,303.41422112399374,24048.79808291093,773.7001848496857,fishing
209,50.54418788126854,590.3483811012633,878934.7607522293,fishing
210,17.50896121001682,507.04419746967534,4042527.5713488027,fishing
212,3.5579677346458163,69.90837692650774,1055280.7682092192,fishing
213,0.046452497911022884,0.29081152703466745,31880912.49698474,fishing
