iucn_sid,cat_score,sens,code,stressor
192438,0.4,1,1.3,direct_human
192438,0.4,0,6.1,direct_human
192709,0.6,0,9.1.1,nutrient
192709,0.6,0,9.2.1,organic
192286,0.8,2,1.1,direct_human
192286,0.8,3,1.2,direct_human
192626,0.8,3,1.3,direct_human
192594,0.4,0,9.1.1,nutrient
192594,0.4,0,9.2.1,organic
192311,0,0,9.1.1,nutrient
192311,0,0,9.2.1,organic
192570,0,0,1.1,direct_human
5272,0.2,0,9.2.1,organic
192503,0.4,0,9.2.1,organic
192350,0.4,1,6.1,direct_human
192852,0.4,0,9.2.1,organic
192473,0,0,9.1.1,nutrient
192473,0,0,9.2.1,organic
192256,0.2,0,1.2,direct_human
192256,0.2,0,9.3.1,nutrient
192795,0.2,0,9.1.1,nutrient
192795,0.2,0,9.1.2,nutrient
192795,0.2,0,9.1.2,organic
192795,0.2,0,9.2.1,organic
133378,0,1,1.1,direct_human
133378,0,1,1.2,direct_human
133378,0,1,1.3,direct_human
133378,0,1,4.3,shipping
133378,0,1,6.1,direct_human
133396,0.4,1,1.1,direct_human
133396,0.4,1,1.2,direct_human
133396,0.4,1,1.3,direct_human
133396,0.4,1,4.3,shipping
133396,0.4,1,6.1,direct_human
133652,0,1,1.1,direct_human
133652,0,1,1.2,direct_human
133652,0,1,1.3,direct_human
133652,0,1,4.3,shipping
133652,0,1,6.1,direct_human
133305,NA,1,1.1,direct_human
133305,NA,1,1.2,direct_human
133305,NA,1,1.3,direct_human
133305,NA,1,4.3,shipping
133305,NA,1,6.1,direct_human
133199,NA,1,1.1,direct_human
133199,NA,1,1.2,direct_human
133199,NA,1,1.3,direct_human
133199,NA,1,4.3,shipping
133199,NA,1,6.1,direct_human
133571,0.2,1,1.1,direct_human
133571,0.2,1,1.2,direct_human
133571,0.2,1,1.3,direct_human
133571,0.2,1,4.3,shipping
133571,0.2,1,6.1,direct_human
133517,0.6,1,1.1,direct_human
133517,0.6,1,1.2,direct_human
133517,0.6,1,1.3,direct_human
133517,0.6,1,4.3,shipping
133517,0.6,1,6.1,direct_human
133351,0,1,1.1,direct_human
133351,0,1,1.2,direct_human
133351,0,1,1.3,direct_human
133351,0,1,4.3,shipping
133351,0,1,6.1,direct_human
132989,NA,1,1.1,direct_human
132989,NA,1,1.2,direct_human
132989,NA,1,1.3,direct_human
132989,NA,1,4.3,shipping
132989,NA,1,6.1,direct_human
132894,0.2,1,1.1,direct_human
132894,0.2,1,1.2,direct_human
132894,0.2,1,1.3,direct_human
132894,0.2,1,4.3,shipping
132894,0.2,1,6.1,direct_human
133180,0.2,1,1.1,direct_human
133180,0.2,1,1.2,direct_human
133180,0.2,1,1.3,direct_human
133180,0.2,1,4.3,shipping
133180,0.2,1,6.1,direct_human
133061,NA,1,1.1,direct_human
133061,NA,1,1.2,direct_human
133061,NA,1,1.3,direct_human
133061,NA,1,4.3,shipping
133061,NA,1,6.1,direct_human
133636,0,1,1.1,direct_human
133636,0,1,1.2,direct_human
133636,0,1,1.3,direct_human
133636,0,1,4.3,shipping
133636,0,1,6.1,direct_human
132959,0.6,1,1.1,direct_human
132959,0.6,1,1.2,direct_human
132959,0.6,1,1.3,direct_human
132959,0.6,1,4.3,shipping
132959,0.6,1,6.1,direct_human
132946,NA,1,1.1,direct_human
132946,NA,1,1.2,direct_human
132946,NA,1,1.3,direct_human
132946,NA,1,4.3,shipping
132946,NA,1,6.1,direct_human
133091,0,1,1.1,direct_human
133091,0,1,1.2,direct_human
133091,0,1,1.3,direct_human
133091,0,1,4.3,shipping
133091,0,1,6.1,direct_human
133577,0.4,1,1.1,direct_human
133577,0.4,1,1.2,direct_human
133577,0.4,1,1.3,direct_human
133577,0.4,1,4.3,shipping
133577,0.4,1,6.1,direct_human
133027,0,1,1.1,direct_human
133027,0,1,1.2,direct_human
133027,0,1,1.3,direct_human
133027,0,1,4.3,shipping
133027,0,1,6.1,direct_human
133066,0,1,1.1,direct_human
133066,0,1,1.2,direct_human
133066,0,1,1.3,direct_human
133066,0,1,4.3,shipping
133066,0,1,6.1,direct_human
133116,0.2,1,1.1,direct_human
133116,0.2,1,1.2,direct_human
133116,0.2,1,1.3,direct_human
133116,0.2,1,4.3,shipping
133116,0.2,1,6.1,direct_human
132974,0.4,1,1.1,direct_human
132974,0.4,1,1.2,direct_human
132974,0.4,1,1.3,direct_human
132974,0.4,1,4.3,shipping
132974,0.4,1,6.1,direct_human
133133,0.4,1,1.1,direct_human
133133,0.4,1,1.2,direct_human
133133,0.4,1,1.3,direct_human
133133,0.4,1,4.3,shipping
133133,0.4,1,6.1,direct_human
133340,0,1,1.1,direct_human
133340,0,1,1.2,direct_human
133340,0,1,1.3,direct_human
133340,0,1,4.3,shipping
133340,0,1,6.1,direct_human
133129,0,1,1.1,direct_human
133129,0,1,1.2,direct_human
133129,0,1,1.3,direct_human
133129,0,1,4.3,shipping
