meow,impact,adj_r2,term,estimate,std.error,statistic,p.value,sig
17,fishing,0.2659922706379828,year,1.487442203038282e-4,6.917337217513003e-5,2.150310381388438,0.06000633603896002,FALSE
17,land-based,-0.11077286388491658,year,1.9384964141094373e-7,3.702876743302045e-6,0.05235109209659462,0.9593925059929864,FALSE
17,ocean,0.9838464065213476,year,0.0016805212843883951,6.803912226644521e-5,24.699338092684012,1.4017844619375826e-9,TRUE
18,climate,-0.11101675243317932,year,1.1946161062562121e-4,0.004320922641809288,0.027647245861268044,0.9785468436040452,FALSE
18,fishing,0.7760545591081153,year,0.008067828687736115,0.0013511518550712687,5.971074722249162,2.0982314960224535e-4,TRUE
18,land-based,0.09411847884067737,year,3.6700404618785342e-6,2.57019047185224e-6,1.4279254794815552,0.18707972798223585,FALSE
18,ocean,0.9870332282825345,year,0.0016020584721693426,5.802876492006719e-5,27.60800569124861,5.208325053769059e-10,TRUE
19,climate,0.22143184515836611,year,0.003753029115636239,0.0019141903405308228,1.960635280708547,0.08156108094916532,FALSE
19,fishing,-0.0820646792241786,year,0.003240492191425703,0.006592800587023452,0.49151982509586806,0.6348230486262735,FALSE
19,land-based,0.4492678968920165,year,1.657537916459954e-4,5.4773625042823345e-5,3.026160702644842,0.01433554233022983,TRUE
19,ocean,0.08464401104384744,year,9.324613516944148e-4,6.721218776995966e-4,1.3873396814367294,0.19872701208832266,FALSE
20,climate,0.31375044086791715,year,-5.7627438136678755e-5,2.4413237836078815e-5,-2.360499599586693,0.04256650992320692,TRUE
20,fishing,0.23184018200806156,year,0.0035348010788856044,0.0017634099812335613,2.0045259562458067,0.0759961569044187,FALSE
20,land-based,-0.09318915670321926,year,-6.18605255063256e-6,1.6104502897361077e-5,-0.3841194347977187,0.7098078182220184,FALSE
20,ocean,0.948861581156889,year,3.95221141783217e-5,2.8936448243801303e-6,13.658246459735443,2.53849940891481e-7,TRUE
21,climate,0.7394370549478266,year,-0.0019409198914278366,3.580908525407273e-4,-5.420188417706334,4.217347418649117e-4,TRUE
21,fishing,0.38640231144563175,year,0.014645221225755421,0.005421433537394427,2.7013558544506293,0.02433959228140375,TRUE
21,land-based,0.014303480589636375,year,-4.553844645863928e-6,4.2555385896084384e-6,-1.0700983083513613,0.3124328168916864,FALSE
21,ocean,0.7777777777777788,year,1.122067324084983e-4,1.8701122068082892e-5,6.000000000000051,2.024993220676281e-4,TRUE
22,climate,0.29886706640140437,year,-7.58333329990291e-5,3.305663960684485e-5,-2.294042404217237,0.0474597585006234,TRUE
22,fishing,0.18404872230835345,year,0.002073654504938758,0.001149260896044888,1.8043374764382176,0.10466946698306226,FALSE
22,land-based,0.7078204358130369,year,1.0861987441214546e-4,2.162664539915735e-5,5.0225022146235245,7.166433379206951e-4,TRUE
22,ocean,0.9383473224715883,year,3.097774774321536e-5,2.5027757274724997e-6,12.377356629752493,5.912294708613831e-7,TRUE
23,climate,0.6047031578753188,year,-2.9919701803687436e-4,7.411353065461141e-5,-4.0370093745933024,0.0029417958762701078,TRUE
23,fishing,0.48435999126886675,year,0.003322802281585454,0.0010306855885122165,3.2238757567008216,0.010424435908678236,TRUE
23,land-based,0.34398010478754937,year,-3.1501089980170845e-5,1.260705377472113e-5,-2.498687682552354,0.03393481884066042,TRUE
23,ocean,0.8911039351338029,year,4.551591177314632e-5,5.001124037331816e-6,9.10113635122512,7.791438156505695e-6,TRUE
24,climate,0.26058040026612217,year,-0.0010643514495151294,5.004007580100485e-4,-2.1269980759976312,0.06232483379729549,FALSE
24,fishing,0.24623510305732588,year,-0.0037656337692119346,0.0018230147674767403,-2.0656079349395506,0.06885209768308896,FALSE
24,land-based,0.43849695268781463,year,4.712466195678389e-4,1.5877294629272132e-4,2.968053629861011,0.015752129761009103,TRUE
24,ocean,0.8852386374825342,year,1.69235077318665e-5,1.914525122559644e-6,8.839532859845916,9.889411623924839e-6,TRUE
25,climate,0.27670200786093335,year,-0.0014026608908949056,6.385263368183028e-4,-2.196715797008766,0.055637737235789755,FALSE
25,fishing,-0.07130773360314224,year,-1.420832195227698e-4,2.4570765771386586e-4,-0.5782612591107359,0.5772685993832999,FALSE
25,land-based,-0.10340808735351947,year,1.1101566959975437e-5,4.428947076788295e-5,0.2506592823869522,0.8077061669182318,FALSE
