eez,stressor,n_spp,n_imp,mean_imp_pct,a_wt_mean_imp_pct,med_imp_pct,sd_imp_pct
182,cumulative,94,81,0.535085656040359,0.5203457360855376,0.5246107381067024,0.33619556743432394
182,fishing,94,76,0.43011206411301645,0.37812352117722675,0.4450730489220444,0.31805136904689285
182,land-based,94,18,0.030625478026337912,0.010963135258239248,0,0.12623636818586897
182,ocean,94,4,0.04207459604935274,0.06136261185688042,0,0.2006873480393353
183,climate,81,6,0.05830691683189168,0.1026487398050902,0,0.2131233522780696
183,cumulative,81,69,0.4794213307545359,0.3873532604280972,0.4119984763150685,0.3583594151966639
183,fishing,81,66,0.3997303932791284,0.24082915002028882,0.27918631745485883,0.3373088478800348
183,land-based,81,13,0.016938830428978494,0.004586724386674932,0,0.1115563928961007
183,ocean,81,4,0.04888209475369593,0.07067567895809122,0,0.21584130410917904
184,climate,75,7,0.09332054886343048,0.07382771116305091,0,0.2928178295676082
184,cumulative,75,65,0.5802576091252694,0.5547822222811097,0.649720025306326,0.310135578172796
184,fishing,75,65,0.4895675603568719,0.45745883134132204,0.5128228944376408,0.28304335399896957
184,land-based,75,15,0.0667407409069528,0.01609027027949889,0,0.20732277048761558
184,ocean,75,3,0.03770639425230118,0.04682787945855497,0,0.1865789739480976
185,climate,61,5,0.08196721311475409,0.08490566037735849,0,0.27659127289275987
185,cumulative,61,30,0.47540983606557374,0.48113207547169806,0,0.4951954959760566
185,fishing,61,21,0.3360655737704918,0.33962264150943394,0,0.471887270042767
185,land-based,61,7,0.06557377049180328,0.0660377358490566,0,0.193119346434305
185,ocean,61,2,0.03278688524590164,0.03773584905660377,0,0.1795562228341584
186,climate,59,4,0.06779661016949153,0.05327319427160953,0,0.2535545088414485
186,cumulative,59,48,0.5445173591191714,0.567747917035711,0.48176670453479165,0.37794289963676236
186,fishing,59,48,0.48472295531378184,0.5025496460074603,0.34750440403829214,0.3511494116693626
186,land-based,59,10,0.0447127615036573,0.019166823390186792,0,0.1552469331802075
186,ocean,59,3,0.05084745762711865,0.042102361702810606,0,0.2215718777717221
187,climate,58,4,0.068226439845319925,0.057615779668955015,0,0.2528807969843606
187,cumulative,58,49,0.7831273662641005,0.8012071680752525,0.9239436177645056,0.35989098498339217
187,fishing,58,49,0.7564357467856754,0.7764514031150604,0.9211488468440723,0.3541069891477683
187,land-based,58,10,0.048985901349754765,0.028196654996767153,0,0.15380855512912345
187,ocean,58,3,0.04900989946506052,0.04059675502745891,0,0.21221018270025044
188,climate,52,4,0.07692307692307693,0.07620728346019262,0,0.269069117598525
188,cumulative,52,44,0.8461538461538461,0.8446975772559651,1,0.36432130747865443
188,fishing,52,44,0.8461538461538461,0.8446975772559651,1,0.36432130747865443
188,land-based,52,9,0.14778428077489408,0.12642387206480382,0,0.3458088992645091
188,ocean,52,3,0.057692307692307696,0.048933097886776016,0,0.23543547789870936
189,climate,8,3,0.37496256364337816,0.24956738048303365,0,0.5174975106795485
189,cumulative,8,7,0.875,0.8136491455835626,1,0.3535533905932738
189,fishing,8,6,0.75,0.7918559374803696,1,0.4629100498862757
189,land-based,8,5,0.25900239880442905,0.05948518306488389,0.08716341117260612,0.3795133697924672
189,ocean,8,1,0.125,0.0025146009256084316,0,0.3535533905932738
190,climate,99,44,0.43651188564366,0.4536853262428436,0,0.49052217048550284
190,cumulative,99,89,0.7501662635358859,0.7523874347154057,0.8735594247184185,0.3392566934874383
190,fishing,99,87,0.5036080923616312,0.49863006116134817,0.4776246666703692,0.24462814116400777
190,land-based,99,59,0.03411590438230894,0.03383974346904113,0.04975658116077126,0.03351778239533589
190,ocean,99,47,0.4516778629728445,0.46121970185216254,0,0.4775480986056501
191,climate,131,46,0.3489676901725614,0.39571773567549734,0,0.47619051562862347
191,cumulative,131,114,0.7925654131324918,0.8238965703237129,0.9562533388772594,0.3555995428997264
191,fishing,131,111,0.7200561316503861,0.7412903056255941,0.8127753137514319,0.32843332404733344
191,land-based,131,63,0.02597603427746032,0.0203136454720557,0,0.08892345264990079
191,ocean,131,50,0.37472498775894014,0.4099737667052755,0,0.47880810824399017
192,climate,91,41,0.4356342261796893,0.43738942413414844,0,0.48375569438603555
192,cumulative,91,82,0.8798666403393672,0.8807417600304791,1,0.325802599479116
192,fishing,91,80,0.8768735025127732,0.8770285914972407,1,0.32730108804443026
192,land-based,91,54,0.050603048866416984,0.053644365609483866,0.03393213544120693,0.12337632155828412
192,ocean,91,43,0.4725274725274725,0.47054583579856674,0,0.5020106094642344
193,climate,82,5,0.06080382568403836,0.08220893265540292,0,0.24008083869992436
193,cumulative,82,73,0.5518879141381716,0.45709992097090396,0.598594791449836,0.34721861692222095
193,fishing,82,70,0.4735077332356137,0.3446774362444614,0.3420397594263242,0.3321997989831714
193,land-based,82,16,0.021777851190917845,0.008334658926013963,0,0.10355185268546242
193,ocean,82,5,0.05456174564462174,0.06241568854312325,0,0.2155318152829492
194,climate,81,5,0.061588850981746164,0.08097142290882918,0,0.24161456246727542
194,cumulative,81,72,0.6565869338550746,0.5799227661495348,0.8652321126544874,0.3547744048409678
194,fishing,81,69,0.5860274865533576,0.48136264804175094,0.5832131756960527,0.3560334824908209
194,land-based,81,15,0.019712567612735158,0.004561214734982782,0,0.11329408151593541
194,ocean,81,5,0.05682324658456769,0.06277947027329515,0,0.22351469495778234
195,climate,77,3,0.03896038636702458,0.05247583471101752,0,0.19476775307342198
195,cumulative,77,70,0.6036289765698519,0.41956426485852827,0.5161455845744803,0.36026311768913133
195,fishing,77,69,0.5488987379111467,0.31382901221502424,0.42504071849790537,0.35755558089623957
195,land-based,77,15,0.021730564306458294,0.0035009659839453392,0,0.10575684250367882
195,ocean,77,5,0.05213669920264554,0.07803899257169356,0,0.20992601156204074
196,climate,78,2,0.025149822015463157,0.0460136176551254,0,0.156037381240642
196,cumulative,78,71,0.6865054128187085,0.5809904142578044,0.8628923262293202,0.35019844717529763
196,fishing,78,71,0.6471345750945784,0.509229210618684,0.6583600386089578,0.347713090925689
196,land-based,78,15,0.02047380786814548,0.006289415533620869,0,0.09501107462423544
196,ocean,78,5,0.05743394829148359,0.07327059599467516,0,0.22210330098274866
197,climate,72,2,0.017878485075905858,0.021090524568469275,0,0.10651280264882657
