stressor,impact_km2,coastal_km2,iucn_sid
cum_ocean,0,27947.518,132467692
cum_all,0,1734.276,132468585
cum_climate,0,1734.276,132468585
cum_fishing,0,1734.276,132468585
cum_land-based,0,1734.276,132468585
cum_ocean,0,1734.276,132468585
art_fish,618821.3,1107354.458,132722
dem_dest,541676.58,1107354.458,132722
dem_nondest_hb,332034.394,1107354.458,132722
dem_nondest_lb,291657.899,1107354.458,132722
cum_all,874774.594,1107354.458,132722
cum_climate,0,1107354.458,132722
art_fish,618821.3,1107354.458,132722
dem_dest,541676.58,1107354.458,132722
dem_nondest_hb,332034.394,1107354.458,132722
dem_nondest_lb,291657.899,1107354.458,132722
cum_fishing,874774.594,1107354.458,132722
cum_land-based,0,1107354.458,132722
cum_ocean,0,1107354.458,132722
art_fish,553114.419,1670735.687,132724
dem_nondest_hb,291212.541,1670735.687,132724
dem_nondest_lb,32376.646,1670735.687,132724
nutrient,196620.271,1670735.687,132724
cum_all,785976.343,1670735.687,132724
cum_climate,0,1670735.687,132724
art_fish,553114.419,1670735.687,132724
dem_nondest_hb,291212.541,1670735.687,132724
dem_nondest_lb,32376.646,1670735.687,132724
cum_fishing,729745.106,1670735.687,132724
nutrient,196620.271,1670735.687,132724
cum_land-based,196620.271,1670735.687,132724
cum_ocean,0,1670735.687,132724
art_fish,283948.841,452952.555,132730
cum_all,283948.841,452952.555,132730
cum_climate,0,452952.555,132730
art_fish,283948.841,452952.555,132730
cum_fishing,283948.841,452952.555,132730
cum_land-based,0,452952.555,132730
cum_ocean,0,452952.555,132730
art_fish,364129.853,431583.236,132765
cum_all,364129.853,431583.236,132765
cum_climate,0,431583.236,132765
art_fish,364129.853,431583.236,132765
cum_fishing,364129.853,431583.236,132765
cum_land-based,0,431583.236,132765
cum_ocean,0,431583.236,132765
dem_dest,2058.252,248787.398,132795
dem_nondest_hb,1619.88,248787.398,132795
dem_nondest_lb,9390.939,248787.398,132795
cum_all,10869.352,248787.398,132795
cum_climate,0,248787.398,132795
dem_dest,2058.252,248787.398,132795
dem_nondest_hb,1619.88,248787.398,132795
dem_nondest_lb,9390.939,248787.398,132795
cum_fishing,10869.352,248787.398,132795
cum_land-based,0,248787.398,132795
cum_ocean,0,248787.398,132795
art_fish,372768.923,704382.411,132860
direct_human,62964.874,704382.411,132860
oa,520213.823,704382.411,132860
shipping,454620.464,704382.411,132860
sst,612312.089,704382.411,132860
cum_all,698313.318,704382.411,132860
oa,520213.823,704382.411,132860
sst,612312.089,704382.411,132860
cum_climate,674174.92,704382.411,132860
art_fish,372768.923,704382.411,132860
cum_fishing,372768.923,704382.411,132860
direct_human,62964.874,704382.411,132860
cum_land-based,62964.874,704382.411,132860
shipping,454620.464,704382.411,132860
cum_ocean,454620.464,704382.411,132860
art_fish,158533.438,315044.427,132865
direct_human,44633.593,315044.427,132865
oa,240345.683,315044.427,132865
shipping,309748.161,315044.427,132865
sst,286110.136,315044.427,132865
cum_all,315044.427,315044.427,132865
oa,240345.683,315044.427,132865
sst,286110.136,315044.427,132865
cum_climate,314938.764,315044.427,132865
art_fish,158533.438,315044.427,132865
cum_fishing,158533.438,315044.427,132865
direct_human,44633.593,315044.427,132865
cum_land-based,44633.593,315044.427,132865
shipping,309748.161,315044.427,132865
cum_ocean,309748.161,315044.427,132865
art_fish,2637478.432,5968841.055,132866
direct_human,503306.815,5968841.055,132866
oa,4294749.465,5968841.055,132866
shipping,4392791.949,5968841.055,132866
sst,4916427.169,5968841.055,132866
cum_all,5764134.482,5968841.055,132866
oa,4294749.465,5968841.055,132866
sst,4916427.169,5968841.055,132866
cum_climate,5258719.64,5968841.055,132866
art_fish,2637478.432,5968841.055,132866
cum_fishing,2637478.432,5968841.055,132866
direct_human,503306.815,5968841.055,132866
cum_land-based,503306.815,5968841.055,132866
shipping,4392791.949,5968841.055,132866
cum_ocean,4392791.949,5968841.055,132866
art_fish,144529.989,270428.299,132868
direct_human,33651.592,270428.299,132868
oa,125493.122,270428.299,132868
shipping,159606.663,270428.299,132868
sst,251273.543,270428.299,132868
cum_all,265104.089,270428.299,132868
oa,125493.122,270428.299,132868
sst,251273.543,270428.299,132868
cum_climate,256127.071,270428.299,132868
art_fish,144529.989,270428.299,132868
cum_fishing,144529.989,270428.299,132868
direct_human,33651.592,270428.299,132868
cum_land-based,33651.592,270428.299,132868
shipping,159606.663,270428.299,132868
cum_ocean,159606.663,270428.299,132868
art_fish,2872289.452,6777597.89,132869
direct_human,602700.218,6777597.89,132869
oa,5054259.324,6777597.89,132869
shipping,4799833.345,6777597.89,132869
sst,5728440.357,6777597.89,132869
cum_all,6574633.453,6777597.89,132869
oa,5054259.324,6777597.89,132869
sst,5728440.357,6777597.89,132869
cum_climate,6069603.715,6777597.89,132869
art_fish,2872289.452,6777597.89,132869
cum_fishing,2872289.452,6777597.89,132869
direct_human,602700.218,6777597.89,132869
cum_land-based,602700.218,6777597.89,132869
shipping,4799833.345,6777597.89,132869
cum_ocean,4799833.345,6777597.89,132869
art_fish,2168798.631,5051233.51,132870
direct_human,378657.253,5051233.51,132870
oa,3382002.435,5051233.51,132870
shipping,3806135.968,5051233.51,132870
sst,4128132.345,5051233.51,132870
cum_all,4848269.073,5051233.51,132870
oa,3382002.435,5051233.51,132870
sst,4128132.345,5051233.51,132870
cum_climate,4343239.334,5051233.51,132870
art_fish,2168798.631,5051233.51,132870
cum_fishing,2168798.631,5051233.51,132870
direct_human,378657.253,5051233.51,132870
cum_land-based,378657.253,5051233.51,132870
shipping,3806135.968,5051233.51,132870
cum_ocean,3806135.968,5051233.51,132870
art_fish,1621172.593,2745701.274,132871
direct_human,410505.582,2745701.274,132871
oa,2591922.686,2745701.274,132871
shipping,1813530.526,2745701.274,132871
sst,2605348.917,2745701.274,132871
cum_all,2744547.71,2745701.274,132871
oa,2591922.686,2745701.274,132871
sst,2605348.917,2745701.274,132871
cum_climate,2738433.208,2745701.274,132871
art_fish,1621172.593,2745701.274,132871
cum_fishing,1621172.593,2745701.274,132871
direct_human,410505.582,2745701.274,132871
cum_land-based,410505.582,2745701.274,132871
shipping,1813530.526,2745701.274,132871
cum_ocean,1813530.526,2745701.274,132871
art_fish,2063626.054,3432376.779,132872
direct_human,383025.254,3432376.779,132872
oa,3273384.884,3432376.779,132872
shipping,2738015.794,3432376.779,132872
sst,3173901.536,3432376.779,132872
cum_all,3407465.554,3432376.779,132872
oa,3273384.884,3432376.779,132872
sst,3173901.536,3432376.779,132872
cum_climate,3379049.974,3432376.779,132872
art_fish,2063626.054,3432376.779,132872
cum_fishing,2063626.054,3432376.779,132872
direct_human,383025.254,3432376.779,132872
cum_land-based,383025.254,3432376.779,132872
shipping,2738015.794,3432376.779,132872
cum_ocean,2738015.794,3432376.779,132872
art_fish,1968758.71,3589482.452,132873
direct_human,375528.396,3589482.452,132873
oa,3427791.339,3589482.452,132873
shipping,2833902.221,3589482.452,132873
sst,3338019.413,3589482.452,132873
cum_all,3564392.21,3589482.452,132873
oa,3427791.339,3589482.452,132873
sst,3338019.413,3589482.452,132873
cum_climate,3533334.173,3589482.452,132873
art_fish,1968758.71,3589482.452,132873
cum_fishing,1968758.71,3589482.452,132873
direct_human,375528.396,3589482.452,132873
cum_land-based,375528.396,3589482.452,132873
shipping,2833902.221,3589482.452,132873
cum_ocean,2833902.221,3589482.452,132873
art_fish,2875928.288,6399442.756,132878
direct_human,553874.148,6399442.756,132878
oa,4383457.772,6399442.756,132878
shipping,4685748.371,6399442.756,132878
sst,5382619.079,6399442.756,132878
cum_all,6196067.018,6399442.756,132878
oa,4383457.772,6399442.756,132878
sst,5382619.079,6399442.756,132878
cum_climate,5684893.087,6399442.756,132878
art_fish,2875928.288,6399442.756,132878
cum_fishing,2875928.288,6399442.756,132878
direct_human,553874.148,6399442.756,132878
cum_land-based,553874.148,6399442.756,132878
shipping,4685748.371,6399442.756,132878
cum_ocean,4685748.371,6399442.756,132878
art_fish,1965968.674,2798669.173,132879
direct_human,394081.482,2798669.173,132879
oa,2434045.06,2798669.173,132879
shipping,1816234.11,2798669.173,132879
sst,2662008.047,2798669.173,132879
cum_all,2797445.748,2798669.173,132879
oa,2434045.06,2798669.173,132879
sst,2662008.047,2798669.173,132879
cum_climate,2787230.461,2798669.173,132879
art_fish,1965968.674,2798669.173,132879
cum_fishing,1965968.674,2798669.173,132879
direct_human,394081.482,2798669.173,132879
cum_land-based,394081.482,2798669.173,132879
shipping,1816234.11,2798669.173,132879
cum_ocean,1816234.11,2798669.173,132879
art_fish,3166571.469,7152893.128,132880
direct_human,603645.076,7152893.128,132880
oa,4744792.349,7152893.128,132880
shipping,5103360.468,7152893.128,132880
sst,6118075.245,7152893.128,132880
cum_all,6944331.153,7152893.128,132880
oa,4744792.349,7152893.128,132880
sst,6118075.245,7152893.128,132880
cum_climate,6426171.216,7152893.128,132880
art_fish,3166571.469,7152893.128,132880
cum_fishing,3166571.469,7152893.128,132880
direct_human,603645.076,7152893.128,132880
cum_land-based,603645.076,7152893.128,132880
shipping,5103360.468,7152893.128,132880
cum_ocean,5103360.468,7152893.128,132880
art_fish,2795839.84,5481365.403,132888
direct_human,602412.045,5481365.403,132888
oa,4902738.963,5481365.403,132888
shipping,3853302.862,5481365.403,132888
sst,5070022.374,5481365.403,132888
cum_all,5448481.399,5481365.403,132888
oa,4902738.963,5481365.403,132888
sst,5070022.374,5481365.403,132888
cum_climate,5404863.396,5481365.403,132888
art_fish,2795839.84,5481365.403,132888
cum_fishing,2795839.84,5481365.403,132888
direct_human,602412.045,5481365.403,132888
cum_land-based,602412.045,5481365.403,132888
shipping,3853302.862,5481365.403,132888
cum_ocean,3853302.862,5481365.403,132888
art_fish,2414414.382,5866592.995,132890
direct_human,511983.435,5866592.995,132890
oa,4116375.77,5866592.995,132890
shipping,4309279.485,5866592.995,132890
sst,4913563.779,5866592.995,132890
cum_all,5663628.558,5866592.995,132890
oa,4116375.77,5866592.995,132890
sst,4913563.779,5866592.995,132890
cum_climate,5158191.011,5866592.995,132890
art_fish,2414414.382,5866592.995,132890
cum_fishing,2414414.382,5866592.995,132890
direct_human,511983.435,5866592.995,132890
cum_land-based,511983.435,5866592.995,132890
shipping,4309279.485,5866592.995,132890
cum_ocean,4309279.485,5866592.995,132890
art_fish,1750782.219,2572830.805,132892
direct_human,369896.802,2572830.805,132892
oa,2420801.338,2572830.805,132892
shipping,1810691.588,2572830.805,132892
sst,2458759.803,2572830.805,132892
cum_all,2571677.24,2572830.805,132892
oa,2420801.338,2572830.805,132892
sst,2458759.803,2572830.805,132892
cum_climate,2565235.269,2572830.805,132892
art_fish,1750782.219,2572830.805,132892
cum_fishing,1750782.219,2572830.805,132892
direct_human,369896.802,2572830.805,132892
cum_land-based,369896.802,2572830.805,132892
shipping,1810691.588,2572830.805,132892
cum_ocean,1810691.588,2572830.805,132892
art_fish,351914.821,770831.555,132893
direct_human,64024.127,770831.555,132893
oa,448781.037,770831.555,132893
shipping,464457.634,770831.555,132893
sst,746660.847,770831.555,132893
cum_all,765307.371,770831.555,132893
oa,448781.037,770831.555,132893
sst,746660.847,770831.555,132893
cum_climate,755845.698,770831.555,132893
art_fish,351914.821,770831.555,132893
cum_fishing,351914.821,770831.555,132893
direct_human,64024.127,770831.555,132893
cum_land-based,64024.127,770831.555,132893
shipping,464457.634,770831.555,132893
cum_ocean,464457.634,770831.555,132893
art_fish,2511820.266,6132235.006,132894
direct_human,531445.575,6132235.006,132894
oa,4098925.6,6132235.006,132894
shipping,4520409.69,6132235.006,132894
sst,5108997.302,6132235.006,132894
cum_all,5923746.385,6132235.006,132894
oa,4098925.6,6132235.006,132894
sst,5108997.302,6132235.006,132894
cum_climate,5409115.254,6132235.006,132894
art_fish,2511820.266,6132235.006,132894
cum_fishing,2511820.266,6132235.006,132894
direct_human,531445.575,6132235.006,132894
cum_land-based,531445.575,6132235.006,132894
shipping,4520409.69,6132235.006,132894
cum_ocean,4520409.69,6132235.006,132894
art_fish,2032326.127,3892606.133,132896
direct_human,439354.295,3892606.133,132896
oa,3666793.962,3892606.133,132896
shipping,2892240.612,3892606.133,132896
sst,3605619.253,3892606.133,132896
cum_all,3866355.341,3892606.133,132896
oa,3666793.962,3892606.133,132896
sst,3605619.253,3892606.133,132896
cum_climate,3828390.764,3892606.133,132896
art_fish,2032326.127,3892606.133,132896
cum_fishing,2032326.127,3892606.133,132896
direct_human,439354.295,3892606.133,132896
cum_land-based,439354.295,3892606.133,132896
shipping,2892240.612,3892606.133,132896
cum_ocean,2892240.612,3892606.133,132896
art_fish,1917288.436,2932996.973,132897
direct_human,353410.7,2932996.973,132897
oa,2846098.042,2932996.973,132897
shipping,2283764.714,2932996.973,132897
sst,2825758.285,2932996.973,132897
cum_all,2932996.973,2932996.973,132897
oa,2846098.042,2932996.973,132897
sst,2825758.285,2932996.973,132897
cum_climate,2931947.325,2932996.973,132897
art_fish,1917288.436,2932996.973,132897
cum_fishing,1917288.436,2932996.973,132897
direct_human,353410.7,2932996.973,132897
cum_land-based,353410.7,2932996.973,132897
shipping,2283764.714,2932996.973,132897
cum_ocean,2283764.714,2932996.973,132897
art_fish,71981.188,139053.833,132898
direct_human,41386.847,139053.833,132898
oa,139053.833,139053.833,132898
shipping,116977.18,139053.833,132898
sst,114718.081,139053.833,132898
cum_all,139053.833,139053.833,132898
oa,139053.833,139053.833,132898
sst,114718.081,139053.833,132898
cum_climate,139053.833,139053.833,132898
art_fish,71981.188,139053.833,132898
cum_fishing,71981.188,139053.833,132898
direct_human,41386.847,139053.833,132898
cum_land-based,41386.847,139053.833,132898
shipping,116977.18,139053.833,132898
cum_ocean,116977.18,139053.833,132898
art_fish,118200.605,1093180.725,132899
direct_human,74438.516,1093180.725,132899
oa,822782.117,1093180.725,132899
shipping,788979.452,1093180.725,132899
sst,817973.125,1093180.725,132899
cum_all,998478.425,1093180.725,132899
oa,822782.117,1093180.725,132899
sst,817973.125,1093180.725,132899
cum_climate,906896.251,1093180.725,132899
art_fish,118200.605,1093180.725,132899
cum_fishing,118200.605,1093180.725,132899
direct_human,74438.516,1093180.725,132899
cum_land-based,74438.516,1093180.725,132899
shipping,788979.452,1093180.725,132899
cum_ocean,788979.452,1093180.725,132899
art_fish,724033.173,1197451.233,132901
direct_human,253968.395,1197451.233,132901
oa,1109357.696,1197451.233,132901
shipping,788772.492,1197451.233,132901
sst,1118129.5,1197451.233,132901
cum_all,1196743.9,1197451.233,132901
oa,1109357.696,1197451.233,132901
sst,1118129.5,1197451.233,132901
