iucn_sid,sens,stressor,code,score_num,category
13653,TRUE,direct_human,1.2,6,land-based
13653,TRUE,direct_human,1.3,7,land-based
13653,TRUE,direct_human,6.1,7,land-based
13653,TRUE,organic,9.2.1,6,land-based
13654,TRUE,direct_human,6.1,4,land-based
13654,TRUE,direct_human,6.3,4,land-based
13704,FALSE,direct_human,1.2,2,land-based
13704,TRUE,organic,9.2.1,3,land-based
13704,TRUE,organic,9.3.3,5,land-based
14549,TRUE,direct_human,1.2,4,land-based
14549,TRUE,direct_human,1.3,4,land-based
14549,TRUE,nutrient,2.4.2,4,land-based
14549,TRUE,direct_human,6.1,4,land-based
14549,TRUE,organic,9.2.1,3,land-based
14562,TRUE,direct_human,6.3,5,land-based
15106,TRUE,direct_human,6.1,4,land-based
15106,TRUE,direct_human,6.3,4,land-based
15106,TRUE,organic,9.2.1,4,land-based
15108,TRUE,direct_human,6.3,4,land-based
15108,FALSE,organic,9.2.1,2,land-based
15419,TRUE,nutrient,9.1.1,6,land-based
15419,TRUE,nutrient,9.1.2,6,land-based
15419,TRUE,organic,9.1.2,6,land-based
15421,TRUE,direct_human,6.1,3,land-based
15421,TRUE,organic,9.2.1,3,land-based
15421,TRUE,organic,9.3.3,3,land-based
16869,FALSE,direct_human,1.1,NA,land-based
16869,FALSE,direct_human,6.1,NA,land-based
16869,FALSE,nutrient,9.1.2,NA,land-based
16869,FALSE,organic,9.1.2,NA,land-based
17013,TRUE,direct_human,1.2,3,land-based
17013,TRUE,direct_human,6.3,3,land-based
17013,TRUE,organic,9.2.1,3,land-based
17014,TRUE,organic,9.2.1,3,land-based
17014,TRUE,organic,9.3.3,3,land-based
17021,TRUE,organic,9.3.3,3,land-based
17022,TRUE,organic,9.2.1,3,land-based
17022,TRUE,organic,9.3.3,3,land-based
17023,TRUE,direct_human,1.2,3,land-based
17023,TRUE,organic,9.2.1,3,land-based
17027,TRUE,direct_human,1.2,3,land-based
17096,TRUE,direct_human,1.1,3,land-based
17096,TRUE,direct_human,1.2,3,land-based
17096,TRUE,nutrient,9.1.1,3,land-based
17177,TRUE,direct_human,1.1,3,land-based
17177,TRUE,direct_human,1.2,3,land-based
17177,TRUE,nutrient,9.1.1,3,land-based
17978,FALSE,direct_human,6.1,NA,land-based
17978,FALSE,nutrient,9.1.1,NA,land-based
17978,FALSE,nutrient,9.1.2,NA,land-based
17978,FALSE,organic,9.1.2,NA,land-based
17978,FALSE,organic,9.2.1,NA,land-based
18145,FALSE,direct_human,1.1,NA,land-based
18145,FALSE,direct_human,1.2,NA,land-based
18145,FALSE,direct_human,1.3,NA,land-based
18175,TRUE,direct_human,1.1,4,land-based
18175,FALSE,direct_human,1.2,NA,land-based
18428,TRUE,nutrient,9.1.1,3,land-based
18428,TRUE,organic,9.2.1,3,land-based
19388,FALSE,direct_human,1.1,NA,land-based
19488,TRUE,direct_human,6.1,4,land-based
19735,FALSE,direct_human,1.1,NA,land-based
19735,FALSE,direct_human,1.3,NA,land-based
19798,FALSE,nutrient,9.1.1,NA,land-based
19798,FALSE,nutrient,9.1.2,NA,land-based
19798,FALSE,organic,9.1.2,NA,land-based
19798,FALSE,nutrient,9.3.1,NA,land-based
19798,FALSE,organic,9.3.3,NA,land-based
19896,FALSE,nutrient,9.3.1,NA,land-based
19896,FALSE,organic,9.3.3,NA,land-based
19897,FALSE,nutrient,9.3.1,NA,land-based
19897,FALSE,organic,9.3.3,NA,land-based
19898,FALSE,direct_human,1.1,NA,land-based
19898,FALSE,direct_human,1.2,NA,land-based
19898,FALSE,direct_human,1.3,NA,land-based
19898,FALSE,direct_human,6.1,NA,land-based
19950,FALSE,direct_human,1.1,NA,land-based
19950,FALSE,direct_human,1.2,NA,land-based
19950,FALSE,direct_human,1.3,NA,land-based
20425,TRUE,direct_human,1.1,3,land-based
20425,TRUE,direct_human,1.2,3,land-based
20733,TRUE,direct_human,6.1,4,land-based
20855,FALSE,direct_human,1.1,NA,land-based
21341,FALSE,direct_human,1.1,NA,land-based
21341,FALSE,direct_human,1.2,NA,land-based
21341,FALSE,direct_human,1.3,NA,land-based
21341,FALSE,nutrient,2.4.1,NA,land-based
21341,FALSE,nutrient,2.4.2,NA,land-based
21341,FALSE,nutrient,9.1.1,NA,land-based
21341,FALSE,nutrient,9.1.2,NA,land-based
21341,FALSE,organic,9.1.2,NA,land-based
21341,FALSE,organic,9.2.1,NA,land-based
21341,FALSE,organic,9.2.2,NA,land-based
21341,FALSE,nutrient,9.3.1,NA,land-based
21341,FALSE,organic,9.3.3,NA,land-based
21342,FALSE,direct_human,1.1,NA,land-based
21342,FALSE,direct_human,1.2,NA,land-based
21342,FALSE,direct_human,1.3,NA,land-based
21342,FALSE,nutrient,2.4.1,NA,land-based
21342,FALSE,nutrient,2.4.2,NA,land-based
21342,FALSE,nutrient,9.1.1,NA,land-based
21342,FALSE,nutrient,9.1.2,NA,land-based
21342,FALSE,organic,9.1.2,NA,land-based
21342,FALSE,organic,9.2.1,NA,land-based
21342,FALSE,organic,9.2.2,NA,land-based
21342,FALSE,nutrient,9.3.1,NA,land-based
21342,FALSE,organic,9.3.3,NA,land-based
21343,FALSE,direct_human,1.1,NA,land-based
21343,FALSE,direct_human,1.2,NA,land-based
21343,FALSE,direct_human,1.3,NA,land-based
21343,FALSE,nutrient,2.4.1,NA,land-based
21343,FALSE,nutrient,2.4.2,NA,land-based
21343,FALSE,nutrient,9.1.1,NA,land-based
21343,FALSE,nutrient,9.1.2,NA,land-based
21343,FALSE,organic,9.1.2,NA,land-based
21343,FALSE,organic,9.2.1,NA,land-based
21343,FALSE,organic,9.2.2,NA,land-based
21343,FALSE,nutrient,9.3.1,NA,land-based
21343,FALSE,organic,9.3.3,NA,land-based
22103,TRUE,direct_human,1.1,3,land-based
22103,TRUE,direct_human,1.2,3,land-based
22103,TRUE,direct_human,1.3,3,land-based
22103,TRUE,nutrient,2.4.3,3,land-based
22103,TRUE,direct_human,6.1,3,land-based
22103,TRUE,nutrient,9.1.1,3,land-based
22104,TRUE,direct_human,1.1,3,land-based
22104,TRUE,direct_human,1.2,3,land-based
22104,FALSE,direct_human,1.3,1,land-based
