iucn_sid,cat_score,sens,code,stressor
161507,0,1,5.4.4,pel_hb
161507,0,1,5.4.4,pel_lb
14134431,NA,0,2.4.2,nutrient
14134431,NA,0,5.4.3,art_fish
14134431,NA,0,9.1.1,nutrient
14134431,NA,0,9.1.2,nutrient
14134431,NA,0,9.1.2,organic
161618,0.2,1,1.1,direct_human
161618,0.2,1,5.4.3,art_fish
161618,0.2,1,5.4.4,dem_nondest_hb
161618,0.2,1,5.4.4,dem_nondest_lb
161618,0.2,1,5.4.4,pel_hb
161618,0.2,1,5.4.4,pel_lb
161606,NA,0,5.4.4,dem_nondest_hb
161606,NA,0,5.4.4,dem_nondest_lb
161606,NA,0,5.4.4,pel_hb
161606,NA,0,5.4.4,pel_lb
161451,NA,0,5.4.3,art_fish
161451,NA,0,5.4.4,dem_nondest_hb
161451,NA,0,5.4.4,dem_nondest_lb
161451,NA,0,5.4.4,pel_hb
161451,NA,0,5.4.4,pel_lb
44585,NA,1,5.4.1,art_fish
44585,NA,1,5.4.4,dem_nondest_hb
44585,NA,1,5.4.4,dem_nondest_lb
44585,NA,1,5.4.4,pel_hb
44585,NA,1,5.4.4,pel_lb
161485,NA,1,5.4.1,art_fish
161485,NA,1,5.4.3,art_fish
161485,NA,1,5.4.4,dem_nondest_hb
161485,NA,1,5.4.4,dem_nondest_lb
161485,NA,1,5.4.4,pel_hb
161485,NA,1,5.4.4,pel_lb
41853,0.8,2,5.4.1,art_fish
41853,0.8,2,5.4.2,dem_nondest_hb
41853,0.8,2,5.4.2,dem_nondest_lb
41853,0.8,2,5.4.2,pel_hb
41853,0.8,2,5.4.2,pel_lb
41853,0.8,2,5.4.3,art_fish
41853,0.8,2,5.4.4,dem_nondest_hb
41853,0.8,2,5.4.4,dem_nondest_lb
41853,0.8,2,5.4.4,pel_hb
41853,0.8,2,5.4.4,pel_lb
60232,NA,1,5.4.4,dem_nondest_hb
60232,NA,1,5.4.4,dem_nondest_lb
60232,NA,1,5.4.4,pel_hb
60232,NA,1,5.4.4,pel_lb
161621,0.4,1,1.1,direct_human
161621,0.4,1,1.2,direct_human
161621,0.4,1,5.4.2,dem_nondest_hb
161621,0.4,1,5.4.2,dem_nondest_lb
161621,0.4,1,5.4.2,pel_hb
