iucn_sid,stressor,pct_imp,pct_incr3,pct_decr3,pct_incr2,pct_decr2,pct_incr1,pct_decr1,range_km2,assess_gp,rank,desc
133002,cumulative,0.9949458105771275,0.7932788155399499,0.0010718375322052464,0.1071583955190168,0.0031664405225924606,0.0012754044903940053,7.53456003154158e-4,3719210.839775086,reef_building_corals,Cnidaria,reef-building corals
133009,art_fish,0.5686104378949669,0,0,0.3076534198246942,0.10919012717222992,0.03755001645453226,0,243556.6262130504,reef_building_corals,Cnidaria,reef-building corals
133009,direct_human,0.0671870295136891,0,0,0.00396546531721098,0,0.06322156419647813,0,243556.6262130504,reef_building_corals,Cnidaria,reef-building corals
133009,oa,0.028486095766419382,0,0,0.016919557702700275,0,0,0,243556.6262130504,reef_building_corals,Cnidaria,reef-building corals
133009,shipping,0.8033222424436982,0.05454845324233091,0.04255883659989754,0.43072267551180904,0.05176258837107969,0.00228749266623777,3.4061409946307866e-4,243556.6262130504,reef_building_corals,Cnidaria,reef-building corals
133009,sst,0.9829943923980372,0.25092145082170747,0.11870580981207714,0.0041232234453875884,0.013194314973523172,0,0,243556.6262130504,reef_building_corals,Cnidaria,reef-building corals
133009,cumulative,0.9991789407309338,0.2342600428038655,0.013699858031488592,0.3154445192661479,0.020547994350156494,0.015503320146899762,0,243556.6262130504,reef_building_corals,Cnidaria,reef-building corals
133020,art_fish,0.43475292573364965,0.0013282810413790633,0.00377508301512459,0.17238878910980915,0.044356656398599724,0.06697469017769735,0.01109943647437448,7289575.212247835,reef_building_corals,Cnidaria,reef-building corals
133020,direct_human,0.08483592540238127,2.8870466082477913e-5,0,0.009540191706104047,0.0011623657100552716,0.06378971477851318,0.009364573034843145,7289575.212247835,reef_building_corals,Cnidaria,reef-building corals
133020,oa,0.6884480159925376,0.024331933215024956,0,0.5569540628054533,0,0,0,7289575.212247835,reef_building_corals,Cnidaria,reef-building corals
133020,shipping,0.716860508050478,0.0940571043410319,0.007926919626797778,0.4115102835486064,0.029660750452920943,1.6016520215369313e-4,3.0128308223498603e-4,7289575.212247835,reef_building_corals,Cnidaria,reef-building corals
133020,sst,0.8518560535374932,0.7038699961555532,0.00680169020746562,0.040340546920681335,0.0011018695032980962,0,0,7289575.212247835,reef_building_corals,Cnidaria,reef-building corals
133020,cumulative,0.9719238907451618,0.6479287356791171,0.0035666406423638477,0.16299714254672631,0.010392409535236206,0.008773147742886317,4.031083797691981e-4,7289575.212247835,reef_building_corals,Cnidaria,reef-building corals
133031,art_fish,0.5432881976034873,0.008244713267791373,2.0838951480851593e-5,0.2534009290602703,0.01679837611240186,0.09230104917810592,0.008505684796864383,3603807.2575391536,reef_building_corals,Cnidaria,reef-building corals
133031,direct_human,0.1312284539147759,0,0,0.012669840494851481,0.0022871961422949315,0.09797239427261398,0.017026393052098302,3603807.2575391536,reef_building_corals,Cnidaria,reef-building corals
133031,oa,0.9491398722591852,0.04921724291976474,0,0.8157969917878725,0,0,0,3603807.2575391536,reef_building_corals,Cnidaria,reef-building corals
