range_km2,eez,iucn_sid
16128.06851491368,41,103422139
52230.87517650527,42,103422139
11065.833777982478,43,103422139
67985.19233630285,44,103422139
62944.78887709484,45,103422139
3561.116639555186,46,103422139
78174.28234073956,47,103422139
49903.66183896225,48,103422139
22487.953871189307,49,103422139
116500.385439923,50,103422139
11285.892963001288,51,103422139
7172.008594326759,52,103422139
48330.0639663043,54,103422139
63.74730335851192,79,103422139
31748.77831727765,190,103422139
96565.81683630453,191,103422139
437.4986364315285,192,103422139
24799.44865515591,202,103422139
137962.2696066784,203,103422139
59936.43996902076,204,103422139
208474.6497405597,205,103422139
382248.9335666296,206,103422139
386238.8162733687,207,103422139
623.5010517410209,208,103422139
335884.55699335603,209,103422139
37749.757622361074,210,103422139
17562.819533010235,212,103422139
23195.287009233725,214,103422139
103.0435912546564,215,103422139
1995503.7612873735,216,103422139
7419.138567186248,231,103422139
544.908482246758,237,103422139
8867.86158916999,247,103422139
111094.96316857194,255,103422139
0,NA,103422139
8281.910322871083,0,104019954
6274.306799008327,14,104019954
2007.603523862755,209,104019954
478447.1117932206,0,104023514
65867.55919326248,48,104023514
32552.16902416455,50,104023514
11285.892963001288,51,104023514
7172.008594326759,52,104023514
50843.279681171836,53,104023514
51917.37813637193,54,104023514
31748.77831727765,190,104023514
116604.30229263897,191,104023514
437.4986364315285,192,104023514
110018.24495457365,203,104023514
0,NA,104023514
491502.2108376022,0,104050689
48213.92159168659,61,104050689
22949.030263983655,62,104050689
38800.27828951141,63,104050689
10086.919669132589,64,104050689
2071.350827221267,65,104050689
12725.88348216191,66,104050689
35461.840588459265,67,104050689
1510.7238386332876,68,104050689
8732.507717473558,76,104050689
82.95882090582295,77,104050689
102.17033845313398,78,104050689
2115.886619330494,79,104050689
27632.2741524104,80,104050689
535.3027266221154,81,104050689
3209.1965761360216,82,104050689
3248.492876628218,84,104050689
8565.71681577511,96,104050689
11053.608265724588,97,104050689
633.9800601671858,98,104050689
389.469848861277,99,104050689
3611.7651918280308,100,104050689
4629.97559664341,104,104050689
13486.484927734728,106,104050689
9176.992356635934,179,104050689
19098.867621013334,182,104050689
8539.519307305749,183,104050689
48993.73453276363,184,104050689
1477.5403109007611,186,104050689
31695.510034941355,187,104050689
8486.250996628338,193,104050689
19600.986823051935,194,104050689
3065.110210276254,195,104050689
19373.068377186795,196,104050689
3987.263030504092,197,104050689
15197.183185564696,198,104050689
1789.2908336222586,199,104050689
19741.580193450678,200,104050689
19421.970414409556,214,104050689
2007.603523862755,255,104050689
4344180.698411069,0,104061138
11615.98177880969,7,104061138
36117.65192772735,14,104061138
33523.223881615144,15,104061138
1266271.2533036836,16,104061138
130524.79287551476,17,104061138
46617.619167444886,24,104061138
216092.88943645134,25,104061138
21950.90465470921,40,104061138
91262.5648475116,203,104061138
37837.08268995494,204,104061138
146603.95930429758,205,104061138
305367.06237841595,206,104061138
175636.9276739003,207,104061138
628.7405559541033,208,104061138
310148.9835074919,209,104061138
1469881.896441632,216,104061138
1030.4359282916291,231,104061138
6607.888588234664,247,104061138
36460.83946942931,255,104061138
