iucn_sid,sciname,comname,pub_year,old_cat,depth_upper,depth_lower,elev_upper,elev_lower,aoo_km2,eoo_km2,criteria,cat,cat_score,iucn_version
77130370,Pomadasys furcatus,Banded Grunter,2019,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
79711881,Genyatremus cavifrons,Torroto Grunt,2016,DD,1,40,NA,NA,NA,NA,NA,DD,NA,2020-1
79800043,Dendrochirus tuamotuensis,NA,2016,DD,NA,120,NA,NA,NA,NA,NA,DD,NA,2020-1
79800053,Parascorpaena armata,NA,2016,LC,1,20,NA,NA,NA,NA,NA,LC,0,2020-1
79800103,Parascorpaena aurita,Golden Scorpionfish,2016,LC,0,15,NA,NA,NA,NA,NA,LC,0,2020-1
79800116,Parascorpaena moultoni,Coral Perch,2016,LC,0,20,NA,NA,NA,NA,NA,LC,0,2020-1
79800135,Pterois paucispinula,NA,2016,LC,1,440,NA,NA,NA,NA,NA,LC,0,2020-1
79800159,Scorpaena orgila,Bold Scorpionfish,2016,DD,NA,21,NA,NA,NA,NA,NA,DD,NA,2020-1
79800168,Scorpaena onaria,Western Scorpionfish,2016,LC,95,500,NA,NA,NA,NA,NA,LC,0,2020-1
79800178,Scorpaenodes englerti,Englert's Scorpionfish,2016,LC,0,38,NA,NA,NA,NA,NA,LC,0,2020-1
79800188,Sebastapistes pascuensis,NA,2016,LC,3,6,NA,NA,NA,NA,NA,LC,0,2020-1
79800214,Taenianotus triacanthus,Leaf Scorpionfish,2016,LC,0,135,NA,NA,NA,NA,NA,LC,0,2020-1
79800251,Inegocia japonica,Japanese Flathead,2016,LC,7,85,NA,NA,NA,NA,NA,LC,0,2020-1
79800315,Arotrolepis filicauda,NA,2016,LC,18,25,NA,NA,NA,NA,NA,LC,0,2020-1
79800379,Paramonacanthus lowei,NA,2016,LC,20,78,NA,NA,NA,NA,NA,LC,0,2020-1
79800448,Acanthaluteres brownii,Spinytail Leatherjacket,2019,LC,2,25,NA,NA,NA,NA,NA,LC,0,2020-1
79800470,Acanthaluteres spilomelanurus,Bridled Leatherjacket,2019,LC,0,30,NA,NA,NA,NA,NA,LC,0,2020-1
79800500,Acanthaluteres vittiger,Brown Leatherjacket,2019,LC,0,45,NA,NA,NA,NA,NA,LC,0,2020-1
79800513,Cantherhines cerinus,Waxy Filefish,2019,DD,22,34,NA,NA,NA,NA,NA,DD,NA,2020-1
79800524,Eubalichthys bucephalus,Black Reef Leatherjacket,2019,LC,0,250,NA,NA,NA,NA,NA,LC,0,2020-1
79800552,Eubalichthys cyanoura,Bluetail Leatherjacket,2019,LC,3,20,NA,NA,NA,NA,NA,LC,0,2020-1
79800562,Eubalichthys gunnii,Gunn's Leatherjacket,2019,LC,4,150,NA,NA,NA,NA,NA,LC,0,2020-1
79800582,Eubalichthys quadrispinis,Fourspine Leatherjacket,2019,LC,44,248,NA,NA,NA,NA,NA,LC,0,2020-1
