iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
15522095,Coelorinchus labiatus,LC,europe,0,LC
15522140,Coryphaenoides leptolepis,LC,europe,0,LC
15522149,Coryphaenoides rupestris,EN,europe,0.6,EN
15522152,Coryphaenoides zaniophorus,LC,europe,0,LC
15522159,Gadomus longifilis,LC,europe,0,LC
15522210,Sphagemacrurus hirundo,LC,europe,0,LC
15522213,Melanonus zugmayeri,LC,europe,0,LC
15522236,Laemonema yarrellii,LC,europe,0,LC
15598524,Benthosema suborbitale,"NA",europe,NA,NA
15598550,Centrobranchus nigroocellatus,"NA",europe,NA,NA
15598596,Ceratoscopelus warmingii,"NA",europe,NA,NA
15598621,Diaphus bertelseni,LC,europe,0,LC
15598639,Diaphus effulgens,"NA",europe,NA,NA
15598672,Diaphus lucidus,"NA",europe,NA,NA
15598778,Diaphus perspicillatus,"NA",europe,NA,NA
15598791,Diaphus splendidus,"NA",europe,NA,NA
15598799,Diaphus subtilis,"NA",europe,NA,NA
15598812,Diaphus termophilus,"NA",europe,NA,NA
15598815,Hygophum macrochir,"NA",europe,NA,NA
15598887,Hygophum reinhardtii,"NA",europe,NA,NA
15598938,Hygophum taaningi,"NA",europe,NA,NA
15598948,Lampadena anomala,"NA",europe,NA,NA
15598951,Lampadena chavesi,"NA",europe,NA,NA
15598957,Lampadena luminosa,"NA",europe,NA,NA
15599060,Lampanyctus alatus,"NA",europe,NA,NA
15599067,Lampanyctus festivus,"NA",europe,NA,NA
15599070,Lampanyctus intricarius,LC,europe,0,LC
15599123,Lepidophanes gaussi,LC,europe,0,LC
15599136,Lepidophanes guentheri,"NA",europe,NA,NA
15599150,Myctophum affine,"NA",europe,NA,NA
15600453,Myctophum nitidulum,"NA",europe,NA,NA
15600731,Nannobrachium atrum,LC,europe,0,LC
15600738,Nannobrachium cuprarium,"NA",europe,NA,NA
15601865,Notoscopelus caudispinosus,"NA",europe,NA,NA
15601872,Notoscopelus resplendens,LC,europe,0,LC
15601902,Taaningichthys minimus,"NA",europe,NA,NA
15601905,Taaningichthys paurolychnus,"NA",europe,NA,NA
15601909,Neoscopelus macrolepidotus,"NA",europe,NA,NA
15601913,Scopelengys tristis,"NA",europe,NA,NA
15601934,Leptochilichthys agassizii,LC,europe,0,LC
15601937,Nansenia atlantica,DD,europe,NA,DD
15601940,Nansenia tenera,DD,europe,NA,DD
15622233,Symphurus insularis,LC,europe,0,LC
15622649,Microchirus boscanion,LC,europe,0,LC
15622672,Microchirus wittei,"NA",europe,NA,NA
15622678,Solea senegalensis,DD,europe,NA,DD
15622684,Dagetichthys lusitanica,DD,europe,NA,DD
15622706,Polymixia nobilis,LC,europe,0,LC
15622789,Scorpaena laevis,DD,europe,NA,DD
15622835,Setarches guentheri,"NA",europe,NA,NA
15623273,Trigloporus lastoviza,DD,europe,NA,DD
16208224,Balaenoptera physalus,VU,mediterranean,0.4,VU
16369383,Tursiops truncatus,VU,mediterranean,0.4,VU
16370739,Physeter macrocephalus,EN,mediterranean,0.6,EN
16376479,Globicephala melas,DD,mediterranean,NA,DD
16378423,Grampus griseus,DD,mediterranean,NA,DD
16381144,Ziphius cavirostris,VU,mediterranean,0.4,VU
16404943,Aluterus monoceros,DD,europe,NA,DD
16407132,Antigonia capros,LC,europe,0,LC
16425354,Beryx splendens,NT,europe,0.2,NT
16431757,Caranx lugubris,"NA",europe,NA,NA
16439757,Cyttopsis rosea,DD,europe,NA,DD
16439848,Decapterus punctatus,DD,europe,NA,DD
16440027,Elagatis bipinnulata,"NA",europe,NA,NA
16441698,Synodus foetens,"NA",europe,NA,NA
16447855,Sargocentron hastatum,"NA",europe,NA,NA
16449531,Gephyroberyx darwinii,"NA",europe,NA,NA
16507347,Seriola rivoliana,LC,europe,0,LC
16509126,Gempylus serpens,"NA",europe,NA,NA
16509242,Nealotus tripes,"NA",europe,NA,NA
16509297,Promethichthys prometheus,LC,europe,0,LC
16545183,Nomeus gronovii,"NA",europe,NA,NA
16674437,Stenella coeruleoalba,VU,mediterranean,0.4,VU
16749737,Heteropriacanthus cruentatus,"NA",europe,NA,NA
16781113,Fistularia petimba,"NA",europe,NA,NA
16781168,Stephanolepis hispidus,LC,europe,0,LC
18123632,Anotopterus pharao,LC,europe,0,LC
18123960,Anoplogaster cornuta,LC,europe,0,LC
18124015,Diretmus argenteus,LC,europe,0,LC
18124888,Engraulis albidus,DD,europe,NA,DD
18125103,Pollachius pollachius,LC,europe,0,LC
18125145,Raniceps raninus,LC,europe,0,LC
18125208,Trisopterus esmarkii,LC,europe,0,LC
18125362,Ciliata mustela,LC,europe,0,LC
18125379,Ciliata septentrionalis,LC,europe,0,LC
18125776,Coryphaenoides armatus,LC,europe,0,LC
18125838,Coryphaenoides profundicolus,LC,europe,0,LC
18126034,Kumba dentoni,DD,europe,NA,DD
